sample_id,id,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
10000,133,0.449512,-1.247226,0.413178,0.303781,-0.123848,-0.184227,-0.219076,0.268537,0.015996,-0.789267,-0.33736,-0.728193,-0.442587,-0.272757,-0.608018,-0.577235,-0.501126,0.143371,-0.466431,-0.554102
10001,273,-1.245485,-0.842317,-1.255026,-1.038066,-0.426301,-1.088781,-0.976392,-0.898898,0.983496,0.045702,-0.493639,0.34862,-0.552483,-0.526877,2.253098,-0.82762,-0.780739,-0.376997,-0.310239,0.176301
10002,175,-1.549664,-1.126219,-1.546652,-1.216392,-0.354424,-1.167051,-1.114873,-1.26182,-0.327193,0.629755,-0.666881,-0.779358,-0.708418,-0.637545,0.710369,-0.976454,-1.057501,-1.913447,0.795207,-0.149751
10003,551,-0.851273,0.733108,-0.843535,-0.786363,-0.049836,-0.424532,-0.509221,-0.679649,0.797298,0.385927,-0.451772,0.453852,-0.431696,-0.494754,-1.182041,0.281228,0.084759,-0.25242,1.038575,0.351054
10004,199,0.091654,0.216499,0.103839,-0.034667,0.16793,0.308132,0.366614,0.280661,0.505223,0.264013,-0.707304,-1.026834,-0.702973,-0.460212,-0.999033,-0.531406,-0.39436,-0.72883,-0.644416,-0.688003
10005,274,1.080023,1.20783,0.956888,0.978402,-0.555822,-0.645696,-0.399365,-0.038153,-0.998966,-1.091216,0.057848,0.392164,-0.050027,0.120414,-0.532348,-0.770613,-0.519694,-0.531097,-0.769127,-0.394858
10006,420,-0.726307,-0.058095,-0.73191,-0.697343,-0.775723,-0.513983,-0.426233,-0.893482,0.800949,-0.01809,-0.428673,0.404865,-0.32675,-0.44085,0.07901,-0.279903,0.416992,-0.486165,-0.225484,-0.172446
10007,76,-0.169639,-1.943019,-0.167192,-0.27215,2.329937,0.006804,-0.251467,0.429234,2.1591,0.512094,0.017786,-0.368046,-0.105966,-0.169129,2.11976,0.162743,-0.672216,-0.577002,0.626908,0.896114
10008,315,-0.465014,-0.567723,-0.526371,-0.492852,-0.800631,-1.250816,-1.058714,-1.096145,-2.178221,-0.860147,-0.843011,-0.910353,-0.90049,-0.608283,-0.704355,-1.255622,-0.970629,-1.363557,-0.800607,-0.927058
10009,399,-0.660984,-0.472313,-0.688248,-0.634204,-0.390718,-0.79636,-0.75668,-0.839314,0.129175,-0.369656,-0.221505,-0.139439,-0.317344,-0.336122,-0.526014,-0.326291,-0.368166,-1.03784,-0.698901,-0.273818
10010,238,0.02633,1.992051,0.02393,-0.088136,-1.005588,-0.008357,0.26994,-0.124821,-1.714551,-0.213719,-0.251822,2.008745,-0.376748,-0.228313,-0.24467,0.166096,0.219045,-0.273508,-1.052451,-0.077883
10011,246,-0.263364,-0.432753,-0.322891,-0.322206,-1.722935,-1.120051,-0.570489,-0.976796,-1.185164,-0.914016,-0.87405,0.696974,-0.986625,-0.589142,-0.260004,-0.547055,-0.036596,-1.040273,-0.111671,-0.584362
10012,253,0.901094,-0.5142,0.86627,0.777324,0.315955,-0.004567,0.474586,0.892752,0.005043,-0.945203,-0.346022,-0.653261,-0.333185,-0.147567,-0.761357,-0.583942,-0.284279,0.133639,-0.799396,-0.541998
10013,550,-0.927957,0.509709,-0.966282,-0.837273,-1.569218,-1.176337,-1.114873,-1.26182,-0.5499,-0.470306,-0.320758,0.158114,-0.371797,-0.432709,0.846041,-0.806941,-1.057501,-1.913447,1.149967,-0.592683
10014,208,-0.288925,0.756379,-0.203852,-0.356904,0.273255,0.833088,-0.021963,0.054189,0.140128,1.460471,-0.765413,-0.534421,-0.680696,-0.555479,-0.596684,0.275639,-0.219954,-0.566458,0.556683,0.152472
10015,185,-1.149488,-0.972632,-1.161936,-0.959569,-0.26262,-1.087644,-1.094823,-1.199811,-0.39656,-0.328545,0.069759,0.092797,-0.092105,-0.30598,2.449773,-0.753287,-1.004549,-1.523495,0.585742,-0.122895
10016,156,1.00902,0.337507,1.047507,0.87829,1.077425,1.178005,1.214074,1.456866,0.581892,-0.161268,1.465801,0.332291,1.323683,1.178696,0.665367,1.344806,0.668654,1.072832,-0.334455,0.443725
10017,0,1.097064,-2.073335,1.269934,0.984375,1.568466,3.283515,2.652874,2.532475,2.217515,2.255747,2.489734,-0.565265,2.833031,2.487578,-0.214002,1.316862,0.724026,0.66082,1.148757,0.907083
10018,70,1.366877,0.470149,1.302886,1.351264,-0.446227,-0.027309,0.241064,0.78906,-0.838325,-1.160679,1.384594,-0.760851,1.296951,1.22578,-0.865695,-0.500666,-0.305168,0.308825,-0.809083,-0.793157
10019,293,-0.646783,-0.425771,-0.676715,-0.631929,-0.899551,-0.908174,-0.777395,-0.673717,0.231402,-0.800607,-0.715245,0.038367,-0.807919,-0.582101,0.184681,-0.585618,-0.589324,-0.522013,-0.317504,-0.760627
10020,287,-0.351408,-1.435719,-0.415157,-0.395299,-1.907966,-1.270715,-0.83113,-0.959772,-1.732806,-0.990566,-0.90942,-1.356863,-0.866828,-0.608503,-0.770024,-0.672247,-0.509747,-0.955599,-0.52697,-0.648286
10021,222,-1.121087,-0.409482,-1.105917,-0.972083,0.693131,-0.366161,-0.892901,-0.767865,0.359185,0.890594,-0.571959,0.000266,-0.606442,-0.556359,0.286019,-0.641508,-0.774539,-0.676761,0.705609,-0.012824
10022,262,0.898254,0.660969,0.923936,0.833069,-0.453344,0.435107,0.102583,0.674535,1.082072,-1.156426,1.550617,0.755033,1.623671,1.113351,-0.107997,1.918792,0.480322,1.572438,0.838796,0.772804
10023,309,-0.305966,-1.26817,-0.381381,-0.353491,-0.913784,-1.269578,-1.057635,-1.034085,-1.309296,-1.079875,-0.02769,-0.704607,-0.148043,-0.161208,-0.964365,-1.160666,-0.963633,-1.131435,-0.765494,-0.575662
10024,534,-0.899556,-0.388538,-0.872369,-0.822768,0.036274,-0.129268,-0.454105,-0.542683,-0.70324,0.181792,-0.918443,0.664316,-0.842076,-0.665487,0.82004,0.463987,0.40174,0.269895,-0.886573,-0.098687
10025,54,0.276263,0.635371,0.217936,0.164705,-0.41278,-0.635462,-0.45536,-0.401848,-0.714193,-0.844553,-0.341691,-0.694809,-0.380708,-0.229414,-0.788692,-0.848299,-0.525994,-0.41755,-1.161421,-0.819256
10026,172,0.378508,-1.721948,0.433773,0.233247,2.087974,0.969539,1.436297,1.56778,0.563638,1.118828,0.056765,-1.013408,-0.030226,0.094672,-0.549349,-0.126765,0.369246,0.22772,-0.317504,0.141124
10027,484,0.455192,-1.863899,0.44613,0.262542,0.565034,0.484381,0.380424,0.340245,-0.100834,-0.029431,-0.87405,-1.505458,-0.852967,-0.582321,-0.335673,-0.406772,0.048618,-0.18267,-1.064558,-0.582092
10028,102,-0.553058,0.286311,-0.607516,-0.557982,-1.155035,-1.212155,-0.815688,-0.805266,-0.265127,-0.854476,-0.767939,0.642544,-0.833166,-0.5645,-0.653686,-1.083147,-0.703052,-0.810908,-0.735225,-0.855946
10029,458,-0.320167,1.359089,-0.3855,-0.38307,-0.901686,-1.016007,-0.96346,-0.80733,-0.527994,-1.17769,-0.516377,0.027481,-0.598521,-0.421268,-0.329006,-0.922409,-0.869136,-0.885687,-1.016127,-0.862755
10030,495,0.21094,0.214172,0.170979,0.073978,-0.034891,-0.395915,-0.258122,0.01524,-1.185164,-0.753827,-0.623932,0.760476,-0.628718,-0.406967,-0.542015,-0.657716,-0.34363,0.005493,-0.115303,-0.750036
10031,158,-0.58714,-1.524147,-0.623168,-0.586707,-0.231308,-0.984169,-0.867289,-0.755484,-0.809117,-0.528427,-0.804753,-0.886041,-0.839106,-0.595962,-0.504347,-0.876859,-0.780905,-0.895906,-0.713431,-0.478452
10032,160,-0.675185,0.207191,-0.653649,-0.668618,0.892395,0.184948,-0.255736,-0.297641,0.662213,0.245584,0.348751,0.863894,0.524703,-0.043939,0.797373,-0.079818,0.324152,-0.044792,1.625806,0.478903
10033,292,-0.334368,-0.760869,-0.36367,-0.401556,0.294605,-0.4721,-0.342114,-0.392562,-0.297985,0.269684,-0.706582,-0.822358,-0.809404,-0.498714,0.561363,-0.304494,-0.283284,-0.077234,0.69108,0.352188
10034,493,-0.473535,-1.503204,-0.541199,-0.505082,-1.611206,-1.211208,-1.024816,-0.965447,-0.725145,-0.378161,-0.279974,0.488324,-0.375263,-0.346243,1.116386,-0.863389,-0.844765,-0.632802,0.986511,0.388122
10035,394,-0.57578,-0.365268,-0.572504,-0.593533,0.465402,-0.128131,-0.514369,-0.403912,0.45776,-0.168356,-0.436974,0.789506,-0.493575,-0.398607,0.368355,-0.512403,-0.446417,-0.694766,-0.047499,-0.755332
10036,528,-0.053194,-1.424083,-0.068336,-0.172606,2.023925,-0.128699,0.153179,0.444452,0.600147,0.251255,0.508639,2.573006,0.606383,0.096872,0.999714,0.390772,0.521768,2.714394,-0.410734,0.655546
10037,335,0.832931,0.39801,0.816841,0.750021,1.105891,0.02386,0.778417,1.300555,-0.308938,-0.29594,1.483125,1.654948,1.589019,1.030404,-0.195334,-0.419626,0.435228,0.915489,-0.272705,-0.023415
10038,311,0.137096,-0.837662,0.029285,0.028472,-1.436139,-1.311272,-0.933202,-0.777667,-0.655777,-1.452705,-0.321841,-0.554016,-0.451497,-0.251635,-0.67002,-1.087451,-0.88094,-0.887634,-0.678318,-1.096968
10039,25,0.855652,-0.672441,0.98984,0.733241,1.582699,2.335941,1.68363,2.351917,4.484751,1.606484,2.312883,-0.436991,2.183056,1.563506,0.329354,0.699282,0.179919,1.974718,0.307261,1.380276
10040,522,-0.814352,0.125743,-0.851362,-0.758776,-0.800631,-1.141087,-1.051257,-1.115722,-0.637523,0.089648,-0.977273,-0.242856,-0.933063,-0.682165,-0.947031,-1.094213,-0.929979,-1.254065,-0.686793,-0.567341
10041,512,-0.206561,0.286311,-0.137124,-0.27926,1.013376,0.806556,0.69932,0.846065,1.111279,1.481735,-0.052594,-0.519362,0.112343,-0.146687,-0.542348,-0.158063,0.08708,0.250429,-0.422842,0.079469
10042,230,0.830091,-0.048787,0.882746,0.6829,1.262455,1.001757,1.283127,1.549724,1.166043,0.064131,-0.394386,-0.975851,-0.352986,-0.18387,-0.503013,-0.301699,-0.044554,0.331534,-1.062137,-0.551832
10043,548,-1.262242,0.011717,-1.273561,-1.050012,-0.814864,-1.024157,-0.821463,-1.01381,-0.845627,-0.063453,-0.395108,0.26516,-0.401994,-0.486174,0.133012,-0.796322,-0.282621,-0.353802,0.180129,0.135829
10044,213,0.935176,1.459153,0.928055,0.833637,0.301721,0.194424,0.996873,0.439809,-1.838683,-0.586549,0.449087,0.816721,0.445993,0.400275,8.029999,3.357389,3.710479,4.456526,0.146227,3.315409
10045,390,-1.098366,-1.645155,-1.079967,-0.947908,0.256176,-0.548095,-0.873441,-0.754194,-0.042419,0.410026,-0.772631,-1.214074,-0.751486,-0.626104,-0.453011,-0.661069,-0.775799,-0.789497,-0.140729,-0.538594
10046,275,-0.635423,-0.449042,-0.64953,-0.623681,1.860245,-0.611014,-0.370489,0.647967,0.742534,-0.573791,0.851874,1.9525,0.571731,0.187079,2.37977,-0.591766,-0.637401,1.184757,0.755252,-0.299917
10047,219,1.534446,3.067156,1.484123,1.615766,-0.865392,0.164101,0.322671,0.450127,-1.40057,-1.370484,1.205577,0.188958,0.918747,1.530503,-0.50068,0.053758,-0.174198,-0.164827,-0.874465,-0.582092
10048,236,2.579618,1.787269,2.534473,2.88708,-0.0904,1.210223,1.333347,1.928896,0.355534,0.041449,2.356193,-0.45967,2.1687,2.540382,-0.204335,0.176156,0.433571,0.87007,-0.562083,-0.280626
10049,336,-0.323007,-1.177414,-0.324951,-0.39985,-0.123848,-0.088901,-0.645568,-0.720662,-0.582759,1.358404,-0.80764,-1.044433,-0.962418,-0.57044,-0.603351,-0.135708,-0.025323,-0.726884,-0.502754,0.720983
10050,20,-0.297446,-0.833008,-0.261106,-0.383638,0.792763,0.429422,-0.541362,-0.459627,0.567289,0.753087,-0.793925,-0.851206,-0.73416,-0.56472,-0.981366,-0.363178,-0.494494,-0.860707,-0.455534,-0.518168
10051,193,-0.507616,1.761672,-0.445638,-0.504797,0.500985,0.586719,0.247342,-0.085098,0.479666,0.931705,0.000462,1.074358,-0.110916,-0.129746,0.685701,0.724991,0.190198,0.229342,-0.213376,0.710014
10052,200,-0.538858,0.062913,-0.553145,-0.551441,-0.035603,-0.44481,-0.589196,-0.202461,0.6111,-0.378161,-0.186856,0.198029,-0.276256,-0.288158,0.15768,-0.429687,-0.592971,-0.064257,-0.667421,-0.172825
10053,83,1.41232,1.629029,1.529432,1.356952,1.789079,1.416794,1.317025,2.527316,-0.648476,1.338557,0.410829,3.07195,1.452886,0.58883,0.168014,1.957356,-0.34993,1.076077,1.212928,2.494604
10054,376,-1.010321,0.216499,-0.89873,-0.900412,-0.400681,1.16853,1.747661,0.270601,1.374147,3.07654,-1.059924,0.025667,-0.24903,-0.728456,0.486027,2.847676,4.032102,2.821453,-0.529391,3.179239
10055,295,-0.101476,-1.400813,-0.161014,-0.205313,-0.311725,-0.798444,-0.981414,-0.767349,-0.801815,-0.521339,-0.671573,-0.947547,-0.686637,-0.497174,-0.897696,-0.968294,-0.915854,-0.805718,0.1208,-0.753819
10056,77,1.114105,-0.730617,1.162839,0.998595,0.721598,2.089571,0.999384,1.523931,1.242713,0.557457,2.07684,-1.208994,1.705351,2.078346,0.299686,1.839429,0.486953,1.444293,0.649913,1.232757
10057,441,0.892574,1.426574,0.841556,0.779031,-0.928729,0.124303,0.396746,0.217723,-1.258183,-1.23723,0.378346,0.838493,0.206398,0.396975,0.356021,0.98376,0.581119,0.912245,-0.557239,-0.021146
10058,109,-0.79163,0.458514,-0.802757,-0.734885,-0.624141,-0.731356,-0.470426,-0.771992,-1.185164,0.353322,-0.616352,-0.418666,-0.628223,-0.526437,0.690702,-0.553761,-0.247475,-0.869628,-0.58872,-0.498499
10059,319,-0.482055,-0.532817,-0.550673,-0.505082,-1.47955,-1.322832,-0.946385,-0.82358,-1.239928,-1.018918,-0.098791,1.783766,-0.187646,-0.201911,0.105345,-0.820913,-0.72729,-0.096699,1.669394,-0.315425
10060,349,-0.618382,-1.007538,-0.607104,-0.648993,1.383436,0.308132,-0.967854,-0.800881,2.363553,0.427038,-0.159426,-0.302729,-0.203487,-0.301139,-0.413676,-0.073111,-0.798345,-0.207002,0.823055,-0.257553
10061,89,0.145616,-0.94238,0.156563,-0.008501,1.198406,0.560187,0.136356,0.560267,1.111279,0.093901,0.38376,-0.870256,0.46926,0.053308,-0.511014,1.041885,0.413345,0.719215,0.451344,0.395687
10062,419,-0.842753,0.49342,-0.865778,-0.78096,0.38712,-0.844497,-1.002443,-0.984276,-0.717843,-0.192455,-0.428312,0.836678,-0.444567,-0.469672,-0.044328,-0.896252,-0.82633,-0.914398,0.774624,-0.65623
10063,562,0.310345,2.636649,0.470844,0.176365,0.600616,1.977758,2.086645,1.170295,1.15509,1.23649,-0.523235,-0.021506,-0.249525,-0.389146,-0.805359,1.283328,1.382525,0.694884,0.100217,0.887792
10064,370,0.631281,0.930909,0.701509,0.527612,0.075415,0.85962,1.158832,1.001086,1.326685,-0.087553,0.09394,-0.353531,0.052444,0.113593,-0.468679,0.765232,0.955794,0.772745,1.383649,0.109729
10065,546,-1.081325,-0.684076,-1.098091,-0.938523,-0.143774,-1.030979,-0.987817,-1.120082,0.267911,-0.111652,-0.702973,-0.45332,-0.747526,-0.602123,0.015008,-1.01893,-0.721952,-1.022105,-0.598406,-0.449704
10066,49,-0.181,0.700529,-0.208383,-0.26703,-0.629123,-0.518531,-0.518386,-0.388951,-0.00956,-0.796355,-0.618518,0.247017,-0.559909,-0.44305,-0.862028,-0.651568,-0.362861,0.007115,-0.500333,-0.695568
10067,412,-1.34347,0.556251,-1.327108,-1.098077,-1.186348,-0.830283,-0.645945,-1.129548,-1.962815,0.629755,-1.034299,-0.063236,-0.837621,-0.737829,-0.50868,0.070525,0.180914,-1.081636,-0.124989,0.298098
10068,417,0.389869,0.416627,0.450249,0.421527,1.113008,0.999861,0.795994,0.925768,0.9981,0.82822,3.482267,-0.006991,3.246381,2.995817,0.385689,0.749583,0.432244,1.556217,-0.043867,0.764104
10069,440,-0.896716,-0.486275,-0.83365,-0.805988,-0.513123,0.131884,0.072451,-0.329883,-1.177862,0.510676,-0.53334,0.288747,-0.029731,-0.488154,0.508028,1.168195,1.074496,0.954419,-0.651681,0.446751
10070,482,-0.18668,-1.216974,-0.191495,-0.308839,0.764297,0.21148,-0.388442,0.096492,-0.119089,0.509259,-0.889208,-1.167627,-0.873263,-0.604983,-0.863695,-0.612445,-0.615186,-0.487462,-0.431318,-0.381241
10071,291,0.236501,-0.044132,0.208462,0.09218,-0.458325,-0.115812,-0.369108,-0.018808,0.246006,-0.606396,-0.423981,-0.487793,-0.344076,-0.340302,-0.569683,-0.241898,-0.548209,0.011981,-0.644416,-0.37065
10072,198,1.435041,0.744743,1.463528,1.402458,-0.792091,0.728855,0.283751,0.484949,-0.1629,-1.064282,0.110182,-0.261,0.478665,0.305448,-0.50568,0.642834,-0.160272,0.067133,-0.77397,-0.150508
10073,542,0.174018,1.426574,0.112489,0.038995,-0.968582,-0.610256,-0.599491,-0.481036,0.103619,-0.850224,-0.368399,0.305076,-0.341105,-0.284418,-0.755357,-0.768936,-0.411933,0.144993,-0.223063,-0.442139
10074,320,-1.101206,-0.723636,-1.048251,-0.940514,0.693131,0.128093,-0.270425,-0.239088,-0.250523,1.416525,-0.135245,0.461109,-0.628223,-0.388486,1.14972,0.959727,0.270107,0.59107,0.804894,1.43777
10075,94,0.264902,0.125743,0.343154,0.144227,0.536567,0.965749,1.019472,1.01192,0.158383,0.006009,0.25852,-0.458037,0.415796,0.149676,0.73637,0.652335,0.556252,1.089053,-0.673475,-0.103983
10076,116,-1.470424,-0.821373,-1.368711,-1.165198,-0.123848,0.378253,0.048094,-0.666494,-1.849636,1.252083,-0.331946,-0.431729,0.204913,-0.514776,3.769827,2.354171,2.013834,1.830352,0.399281,0.683158
10077,429,-0.399691,-0.376903,-0.45264,-0.436823,-1.238299,-1.12043,-0.938852,-0.7885,-1.287391,-1.043018,-0.39619,-0.604636,-0.374767,-0.376165,0.098678,-0.767818,-0.879016,-1.001343,-0.138308,-0.989091
10078,518,-0.354249,-0.248914,-0.30971,-0.460145,1.810429,1.170425,-0.509095,0.106035,-0.374655,1.379668,0.135085,-0.086823,0.15343,-0.131286,-0.58935,-0.122294,-0.591645,0.104441,-0.288445,-0.187576
10079,323,1.764497,0.516691,1.809525,1.732374,1.468835,1.575986,2.105477,2.617595,2.765157,0.553204,0.595621,-0.351717,0.567276,0.631953,-0.518681,-0.065287,0.000208,0.307203,0.864222,-0.170177
10080,248,-0.9876,1.380033,-0.986877,-0.875668,0.014925,-0.606466,-0.81619,-0.845247,0.311723,0.069801,-0.561131,0.501025,-0.677726,-0.521376,0.049342,-0.845505,-0.699073,-0.900448,0.125643,-0.444787
10081,280,1.429361,1.701168,1.40998,1.374017,0.401353,0.776234,1.296937,1.230911,0.329977,-0.084717,0.833467,-0.391632,0.72024,0.644934,0.117012,-0.055227,0.264801,0.183924,-0.749754,-0.131973
10082,391,-1.531771,-0.57005,-1.511641,-1.196199,0.536567,-0.5697,-1.114873,-1.26182,0.633006,1.159939,0.40325,1.56423,0.148975,-0.252735,2.926459,-0.325173,-1.057501,-1.913447,-0.229117,1.112474
10083,462,0.077453,1.791923,0.011573,-0.024997,-1.879499,-0.98758,-0.678462,-0.813778,-0.381957,-1.200372,-0.626819,-0.55456,-0.563869,-0.43601,-0.561682,-0.485576,-0.403976,-0.880172,-0.775181,-0.719776
10084,406,0.571638,-1.030809,0.507915,0.41271,-0.100363,-0.366351,-0.424349,-0.093868,-0.27973,-0.573791,-0.600833,-1.051691,-0.562879,-0.407187,-1.027701,-0.727578,-0.450396,-0.4946,-0.671053,-0.822282
10085,416,-1.341198,0.560905,-1.333287,-1.091251,0.57215,-0.810194,-0.857873,-0.937589,0.779043,0.45539,0.090331,3.013891,-0.052998,-0.333702,2.566444,-0.488371,-0.604244,-0.506441,1.198399,0.300746
10086,411,-0.876835,-0.572377,-0.867014,-0.801153,0.806996,-0.498443,-0.732448,-0.622129,-0.3564,0.085395,-0.752419,0.308704,-0.754456,-0.589582,-0.627685,-0.901115,-0.707363,-0.699633,-0.407102,-0.604031
10087,474,-0.922277,-0.853952,-0.888021,-0.841823,0.308838,0.048497,-0.472686,-0.856596,0.180289,0.789944,-0.927466,-1.231674,-0.774752,-0.676334,-0.855694,0.304702,-0.143362,-0.828103,-1.019759,0.331763
10088,96,-0.553058,-0.337343,-0.584037,-0.579597,0.579267,-0.64001,-0.802254,-0.503219,0.322675,0.503588,-0.141019,0.533683,-0.225763,-0.349763,-0.536015,-0.765024,-0.682495,0.550517,0.200712,-0.146347
10089,232,-0.825712,3.378983,-0.872369,-0.762473,-1.320851,-1.30009,-1.052512,-1.095861,0.121873,-0.640418,-0.654249,0.780434,-0.681686,-0.547338,-0.894029,-1.043186,-0.950636,-1.358853,-0.167367,-0.476939
10090,354,-0.848433,-1.214647,-0.853833,-0.76873,-1.680948,-0.828198,-0.549271,-0.88239,-0.444023,-0.278929,0.061457,-0.739624,0.229665,-0.252955,-0.500013,0.469017,0.436223,0.472657,1.268624,0.391905
10091,240,-0.138398,-0.858606,-0.189023,-0.22636,-0.151602,-0.720933,-0.524161,-0.299446,-0.345447,-0.878576,-0.292245,-1.008146,-0.430706,-0.289258,-0.190334,-0.72646,-0.457359,-0.124275,-0.189161,-0.756845
10092,378,-0.132717,-0.963324,-0.152364,-0.211286,-0.973563,-0.546958,-0.581412,-0.62445,-0.071627,-0.542604,-0.95634,-1.224961,-0.873758,-0.637765,-0.609684,0.243782,-0.247475,-0.558023,-0.286024,0.4059
10093,177,0.662522,0.190901,0.713866,0.506281,0.138753,0.971434,1.136233,1.025075,-0.064325,0.061296,-0.366234,0.121827,-0.190121,-0.192451,-0.137999,0.864156,0.723363,1.027414,-0.45069,0.298477
10094,33,1.460602,1.670916,1.480004,1.442275,-0.167259,1.280343,0.965486,0.696717,0.151081,-0.026596,0.543648,-1.107935,0.327681,0.612372,-0.675354,0.430453,0.102,-0.34926,-0.618989,0.03824
10095,251,-0.746188,-0.195392,-0.769805,-0.703884,-0.207111,-0.842033,-0.783673,-0.728142,0.081713,-0.490152,-0.045014,-0.67848,-0.090125,-0.293659,-0.220335,-0.828738,-0.644696,-0.425174,0.287889,-0.882802
10096,224,-0.243483,-0.528162,-0.305591,-0.308554,-0.8476,-1.030979,-0.668669,-0.628319,-1.152306,-0.858729,-0.405935,-0.591754,-0.406944,-0.344483,-0.33634,-0.806941,-0.308484,-0.444315,-0.692847,-0.491312
10097,186,1.187949,-0.16514,1.096935,1.098139,-0.745834,-0.372605,-0.089257,0.237843,-0.695938,-1.211713,-0.532258,-1.344707,-0.519316,-0.251195,-1.391716,-0.91084,-0.589324,-0.823561,-1.192902,-1.024268
10098,85,1.230551,-0.179102,1.19991,1.194838,0.169354,0.018175,0.561216,1.006761,1.169694,-0.365403,1.063013,0.468367,0.948449,0.885853,-0.190001,-0.502343,-0.127115,0.38993,0.38233,-0.015094
