id,x3,x4,x5
133,0.074214,-0.441366,-0.377645
273,-0.923578,0.62823,-1.021418
175,-1.092337,-0.708765,-1.168557
551,-0.780484,-1.037534,-0.48388
199,0.287273,1.000835,0.962702
274,0.772457,-0.038076,-0.468613
420,-0.632995,-0.327392,-0.385278
76,-0.483572,0.558093,-0.740244
315,-0.591332,-0.963013,-1.302401
399,-0.560041,-0.34931,-0.519504
238,-0.204943,-1.063835,-0.074206
246,-0.489725,-0.976164,-0.658182
253,0.600181,0.404667,-0.087565
550,-0.823201,-1.414523,-1.150045
208,-0.424155,0.110966,1.182806
185,-0.77978,0.864944,-0.969255
156,0.740814,0.413434,0.607736
0,2.001237,1.307686,2.616665
70,1.732277,-0.572873,-0.131459
293,-0.637741,0.198638,-0.499147
287,-0.533673,-1.587236,-0.887829
222,-0.887716,0.360831,-0.70144
262,0.728509,-0.831505,0.206332
309,-0.365968,-1.348769,-1.24553
534,-0.831639,0.45727,-0.02077
54,0.262662,0.28631,-0.308942
172,0.389232,0.90878,0.661808
484,-0.046203,0.952616,0.277579
102,-0.585004,-0.879725,-1.053734
458,-0.44314,-0.463284,-0.92218
495,-0.170488,-0.472051,-0.734519
158,-0.611372,-0.213419,-0.833757
160,-0.59186,0.150419,-0.413905
292,-0.518906,0.698367,-0.301944
493,-0.609263,-1.664826,-1.205453
394,-0.564436,0.474804,-0.489605
528,-0.399544,0.308228,-0.749786
335,0.846289,0.549325,-0.311486
311,-0.069935,-1.370687,-1.166649
25,1.020322,0.97015,0.894635
522,-0.781714,-0.945479,-1.12619
512,-0.063607,1.097274,0.835474
230,0.54217,1.662757,0.885093
548,-0.907756,-0.546572,-1.010222
213,0.246841,-0.353694,-0.476882
390,-0.854492,0.084665,-0.56785
275,-0.71755,0.154802,-1.085159
219,2.806362,0.369598,0.988783
236,3.627307,0.6896,1.007232
336,-0.535431,-0.796437,-0.361105
20,-0.439624,-0.051226,0.148443
193,-0.196329,2.022211,1.376193
200,-0.425737,0.461654,-0.318484
83,0.733782,0.299461,0.174525
376,-0.929379,-0.792053,0.684709
295,-0.385832,-0.673696,-0.935539
77,1.282251,0.676449,1.96653
441,0.709172,0.492339,1.004687
109,-0.637214,1.645223,-0.220518
319,-0.641081,-2.116335,-1.317732
349,-0.675712,-0.134515,-0.418358
89,-0.13533,-0.204652,0.347555
419,-0.742864,-0.182734,-0.912638
562,0.060502,0.40905,3.418837
370,0.49998,0.400283,1.350111
546,-0.871368,-0.169583,-1.055006
49,-0.319559,-0.708765,-0.529046
412,-1.018857,-1.041918,-0.417085
417,1.524843,0.847409,0.92835
440,-0.710519,0.295077,0.979241
482,-0.387414,0.303844,-0.027768
291,-0.124431,-0.046843,0.310022
198,1.419368,-0.00739,1.945538
542,-0.095249,-1.155891,-0.742153
320,-0.861699,0.343297,-0.116191
94,0.253872,0.996451,1.056214
116,-1.073352,-0.634244,-0.422174
429,-0.516445,-1.120822,-1.006469
518,-0.361925,0.58001,0.266129
323,1.858847,1.176179,1.240059
248,-0.746907,0.768505,-0.728158
280,1.482653,2.009061,0.825932
391,-0.99073,0.597545,-0.784138
462,-0.256626,-1.344385,-0.688717
406,0.118337,-0.515887,-0.522048
416,-0.916194,0.886862,-0.858566
411,-0.719308,0.198638,-0.674722
474,-0.786636,0.036445,0.862192
96,-0.67747,-0.805204,-1.022181
232,-0.720187,-1.421536,-1.179499
354,-0.750775,-1.916882,-0.818489
240,-0.346631,-0.200268,-0.796225
378,-0.39304,-0.213419,0.357097
177,0.176876,0.400283,1.351383
33,1.639107,0.812341,2.57468
251,-0.653386,-0.616709,-0.95017
224,-0.30198,-0.209036,-0.783502
186,0.930669,-0.393146,-0.062119
85,1.269946,0.325762,-0.288585
422,-0.711749,0.400283,-0.237058
104,-0.839901,-0.4589,-0.672177
461,5.930172,0.146035,1.08993
142,-0.663758,0.391516,-0.477519
380,-0.711046,1.255083,-0.072298
123,-0.237464,-0.046843,-0.480063
428,-0.807731,-1.287398,-1.221866
396,-0.361046,0.45727,0.017398
66,-0.966647,0.983301,-0.558944
170,-0.582718,0.268776,-0.812128
481,-0.088042,-1.138356,-0.717343
313,-0.725637,-1.015616,-0.583118
53,0.774214,-0.191501,-0.156268
296,-0.858535,-1.720497,-1.139994
114,-1.048038,1.754812,-0.113647
243,-0.306902,-1.695949,-0.700167
140,-0.9452,-0.393146,-1.159206
152,-0.879102,-0.138898,0.145898
268,-0.497635,-0.296707,-0.46734
91,-0.087339,-0.292324,-0.34711
255,-0.095952,0.825491,0.457607
559,-0.714386,-0.112597,-0.016317
14,-0.321493,1.43481,3.296698
100,0.04556,-0.257255,-0.381461
353,0.29782,1.474263,-0.118736
543,-0.441206,-1.103288,-0.738972
165,-0.173125,-1.221645,-0.981659
43,0.04679,0.904396,0.751503
201,0.630066,0.251241,0.558117
108,2.600686,1.65399,2.833589
328,0.422632,1.167411,0.257223
439,-0.336962,-1.269864,-0.970527
162,2.375673,0.501106,0.829112
325,-0.538243,0.264392,-0.84648
183,-0.726691,-0.888492,-0.593296
197,0.610729,-1.935293,-0.368739
498,1.264672,0.387133,0.347555
477,-0.284225,-1.688935,-0.341385
421,-0.125485,-0.051226,0.694887
374,-0.369132,-0.958629,-0.284132
470,-0.87084,-0.393146,-0.636553
382,-0.689424,-1.945375,0.427072
510,-0.715089,-1.098904,0.159257
132,0.517559,0.312612,0.325926
545,-0.265064,-0.472051,-0.652457
121,1.175019,0.786039,-0.160085
45,1.206661,1.557551,1.62047
333,-0.681865,-0.69123,-0.994446
134,1.247093,0.619463,-0.170263
182,0.682803,0.3959,0.638907
519,-0.450875,0.663299,-0.35856
207,0.579086,-0.932328,-0.672177
99,-0.095249,0.470421,0.307478
366,1.389484,-0.200268,0.555572
180,4.105459,0.650148,0.948707
318,-1.025712,-0.450133,0.766771
501,-0.162753,2.061664,0.905449
229,-0.306902,1.987143,1.781414
7,0.028859,1.447961,0.724786
247,-0.424506,-0.305475,2.1033
494,-0.408333,-0.901643,-0.570395
174,-0.830233,-1.085753,-1.185478
340,-0.032492,-0.130131,0.526946
125,-0.271919,-0.730683,-0.758692
209,0.091617,-0.445749,-0.22688
347,0.000381,-0.454517,-0.339476
332,-0.781363,0.439736,-1.002397
361,-0.455973,-0.805204,-0.557036
500,-0.041633,-0.827122,-0.233241
300,2.061007,0.75097,1.00087
283,0.26442,0.181104,1.376193
107,-0.591508,-0.612326,-0.368739
131,0.484159,0.974533,-0.094562
303,-0.888068,0.391516,-0.953351
567,1.653171,1.430427,3.904848
507,-0.82531,1.48303,-0.325481
3,-0.550021,3.394275,3.893397
516,1.076575,0.73782,-0.004231
143,-0.416244,-0.051226,0.003403
398,-0.674833,-0.892875,-0.422174
530,-0.577093,0.110966,-0.438078
119,0.66874,-1.103288,-0.852841
259,0.271451,2.451803,1.922
450,-0.656375,-1.656935,0.544758
192,-1.013934,-2.682695,-1.443878
514,0.151913,-0.340543,-0.280951
241,-0.592739,-1.256713,-1.122819
402,-0.454742,-1.713045,-0.142909
148,-0.199845,-0.033692,0.122361
395,-0.344697,-1.129589,-0.834393
299,-0.910393,-0.792053,-1.06951
149,-0.271919,-1.545592,-0.457162
60,-0.900022,-0.213419,-0.989865
61,-1.066496,1.382207,-0.537316
126,-0.056048,0.645764,0.217146
372,1.150408,-0.577257,0.189156
82,2.955784,1.09289,2.247704
425,-0.886486,-0.866574,-1.166203
337,1.744582,0.764121,1.453165
386,-0.61647,-1.304933,-0.071025
184,0.162637,-0.099446,0.481144
58,-0.450875,-1.326851,-1.223647
88,-0.537716,-0.086295,-0.050669
117,0.376926,2.429885,1.232425
459,-0.932895,-0.936711,-0.912002
221,-0.341005,0.229323,0.098824
223,0.364621,1.000835,1.232425
128,-0.207404,0.273159,0.21651
294,-0.574632,-0.112597,-0.681083
541,-0.126013,0.071514,1.055578
111,-0.620865,-0.160816,-0.186167
266,-0.801227,-0.485202,-0.01759
568,-1.075813,-1.859019,-1.207552
362,-0.528926,-0.112597,-0.44762
271,-0.743743,0.150419,-0.658818
187,-0.631237,-0.003007,-0.955896
155,-0.556174,-0.467667,-0.480063
5,-0.24432,2.048513,1.721616
511,-0.211623,-0.809587,-0.974344
252,1.850057,1.693442,2.170731
480,-0.585707,-0.50712,-0.167719
513,-0.032668,-0.441366,-0.391004
86,-0.126013,-0.077528,-0.360469
105,-0.093843,2.359748,0.990056
242,-0.716671,0.102199,1.466524
312,-0.460192,-0.56849,-0.212884
473,-0.565491,-1.672278,-1.285861
364,-0.381613,-0.485202,-0.551311
565,1.494959,-0.69123,-0.39482
447,-0.0898,-0.428215,-0.420902
488,-0.581488,0.886862,-0.677903
151,-1.108862,1.342755,1.124281
263,0.189884,-1.050685,-0.467976
563,1.649655,0.365215,1.0454
194,-0.168554,-0.033692,1.339296
433,1.269946,0.290694,0.585471
244,0.942974,0.610696,0.270582
489,0.357589,-1.379454,0.240047
465,-0.258559,-0.537805,1.974164
483,-0.341181,-0.546572,-0.761237
397,-0.509062,-1.623181,-0.464796
52,-0.621217,-0.787669,-1.050935
147,-0.124606,-1.432057,-0.013773
27,0.918363,0.062747,-0.270773
436,-0.445953,-0.480818,-0.566578
434,-0.181211,-0.463284,-0.631464
190,-0.207756,0.917547,4.315794
407,-0.412728,-1.681045,-0.385914
202,1.943226,0.930698,1.033313
455,-0.307605,-0.664929,-0.713526
452,-0.627369,-0.50712,-0.436806
385,-0.215139,-0.051226,-0.611744
188,-0.68749,0.141652,-0.981341
159,-0.721769,-0.669312,-1.089867
32,0.814646,1.360289,0.64654
264,0.976374,1.027137,0.01549
245,-0.839901,0.838642,-0.964802
535,1.632076,-0.244104,0.376817
430,-0.084174,0.417818,2.89275
443,-0.904065,-1.509208,-1.201318
154,-0.357354,0.676449,-0.18235
9,-0.297409,2.320295,5.112877
63,-1.00286,-1.490797,-0.550038
329,0.166328,0.448503,-0.271409
536,-0.2677,0.246858,0.121089
65,0.078257,1.42166,0.555572
438,-0.231136,-0.901643,-0.891646
269,-0.826541,0.049596,0.004675
36,-0.142361,0.536175,1.078479
98,-0.647058,0.470421,-0.439986
392,0.841015,1.566318,0.871734
69,-0.572523,-0.121364,-1.168303
517,1.345536,0.40905,0.487505
92,-0.087866,-1.392605,-0.82994
552,-0.502558,-0.393146,-0.940628
505,-0.971217,2.990984,0.712699
566,0.427906,-0.809587,0.350735
163,-0.575863,0.562476,-0.130186
358,-1.017099,-1.353152,-0.823579
442,-0.305847,-1.103288,-0.936175
15,0.110075,1.553167,2.56641
503,3.342525,-0.546572,0.688526
176,-0.862051,-0.099446,0.259131
327,-0.627897,-1.36192,-1.147374
1,1.890489,-0.375612,-0.430444
404,-0.610845,-1.208494,-1.188468
24,2.345788,2.109883,0.658627
139,-0.785054,0.189871,-0.458434
101,-1.222423,1.14111,-0.852841
350,-0.594321,-1.437317,-1.205517
90,-0.135154,-0.914793,-0.494058
191,-0.529278,-1.687182,-1.046355
383,-0.492362,0.452886,0.668169
11,0.73554,0.316995,1.950627
314,-1.125913,0.102199,-1.123391
352,4.137101,0.904396,2.159281
235,-0.290202,-0.160816,-0.655002
305,-0.710343,-1.618359,-0.751695
375,-0.033546,-0.388763,0.004675
215,-0.229378,0.597545,1.16245
466,-0.336611,0.119734,0.640179
486,-0.087163,-0.796437,-0.300672
250,1.985416,-0.493969,0.400354
339,3.560506,0.838642,0.086101
103,-0.91303,1.03152,-0.153087
206,-0.965064,0.400283,-0.824215
345,-0.920238,0.159186,-0.576756
346,-0.558987,-0.152049,-0.75742
317,1.062512,0.483572,0.140173
499,1.545938,0.615079,0.670714
478,-0.725988,0.124117,-0.33884
47,-0.213029,2.026595,1.032677
456,-0.620162,0.360831,-0.325481
211,-0.587641,-0.191501,-0.421538
490,-0.452984,-0.296707,-0.469885
113,-0.889826,-0.103829,-0.314031
359,-0.77521,0.040829,-0.95017
344,-0.640202,0.597545,-0.908185
532,-0.188419,-0.261639,-0.622558
261,0.593149,-0.366845,-0.672177
4,1.220724,0.220556,-0.313395
226,-0.85291,0.075898,-0.884012
464,-0.339247,-0.182734,-0.367466
277,0.624792,-0.353694,-0.879559
257,0.084761,1.93454,1.247056
260,1.693603,0.869327,0.255951
301,-0.578851,-1.199727,-0.244691
537,-0.690654,1.94769,0.450609
403,-0.526817,-0.664929,-0.371919
233,1.742824,-0.441366,0.138901
487,1.51078,0.834259,0.75214
141,0.619518,-0.042459,-0.195073
68,-0.977194,0.693984,1.159269
363,0.225746,0.062747,-0.549402
379,-0.654793,3.771263,4.348873
51,-0.393567,-1.028767,-0.611108
195,-0.492186,-0.993698,-0.659455
239,0.927153,0.181104,0.758501
161,1.080091,-0.875341,-0.335023
169,-0.152733,-0.472051,-0.57612
212,2.845036,-0.796437,-0.653093
120,-0.650574,0.983301,-0.097107
367,-0.449996,0.194255,-0.237058
171,0.198674,0.338913,-0.634009
348,-0.711573,0.90878,-0.905004
409,-0.47531,-0.366845,-0.47561
112,-0.301628,-1.879621,1.049853
524,-0.886134,0.417818,-0.19062
62,0.138729,1.386591,2.356484
393,2.110228,0.781656,2.01933
75,0.601939,0.772888,-0.316575
124,-0.436812,-1.309316,-0.007411
231,-0.752884,-1.768278,-0.706529
285,-0.55635,-1.25233,-1.196102
448,-0.088042,-1.028767,0.067653
460,1.349052,1.211247,-0.062755
218,1.983658,0.128501,0.440431
467,-0.87963,0.281926,-0.819126
525,-1.063508,1.390974,-0.195709
80,-0.624908,1.022753,-0.551311
472,0.045735,-1.133973,0.157985
549,-0.659188,-0.524654,-0.578665
527,-0.554943,-0.138898,-0.298127
168,1.370147,0.229323,0.818934
351,0.061029,0.992068,1.59248
57,0.184435,0.194255,1.111558
560,-0.305671,-0.362461,-0.177261
424,-0.878399,0.325762,-0.75742
355,-0.585707,-0.998082,-0.343929
42,1.354326,-0.33616,3.117943
217,-0.838319,-1.62625,-0.728794
286,-0.587992,-0.91041,0.17198
135,-0.399017,0.417818,-0.64864
521,3.096417,0.080281,1.046672
278,-0.248715,-1.199727,-1.132615
504,-1.020263,2.535091,0.571476
97,-0.904416,-0.033692,-1.014866
84,-0.54967,0.233707,-0.343293
553,-1.027998,-0.967396,-1.089612
469,-0.619635,2.000293,0.213329
87,1.305104,-0.327392,0.421983
22,0.176348,0.290694,2.170095
19,-0.297761,0.509873,-0.489605
265,4.485168,0.338913,0.064472
38,-0.319559,-1.68762,-1.291078
479,0.103922,0.233707,1.220974
17,0.763667,2.039746,1.075298
189,-0.586937,-0.998082,-0.56785
178,-0.477771,-2.240829,-1.399158
164,2.676276,-0.419448,0.661808
451,0.950006,0.895629,-0.443803
290,-0.199142,-1.426358,-0.044944
67,-0.72757,-0.147665,-1.03554
110,-0.902834,0.62823,-0.494694
556,-0.937465,-0.257255,-0.854113
150,-0.463884,-0.11698,-0.914547
321,1.364873,-1.182192,-0.639734
526,-0.282643,1.316453,0.36982
18,2.667486,0.825491,0.386359
446,0.978132,0.338913,0.775677
432,1.051965,1.496181,0.254042
523,-0.314109,0.444119,0.014854
418,-0.551428,-0.042459,-0.595204
272,2.642876,-0.22657,1.388279
153,-0.7731,0.075898,-1.0468
509,0.050658,1.789881,1.542225
288,-0.778726,-1.296166,-0.445075
258,0.607213,0.790423,1.672634
228,-0.451051,-0.423831,0.579746
476,-0.091558,-0.748217,0.563842
423,-0.30198,-0.774519,0.397174
64,0.013566,2.311528,0.965882
137,-0.735833,-0.586024,-0.569123
343,1.159197,-0.463284,0.58229
302,1.433432,0.102199,0.539669
561,-0.77521,-1.740223,-1.267986
8,-0.248363,1.662757,1.81831
502,-0.57762,1.123576,-0.5036
28,0.682803,1.390974,2.269333
457,-0.435405,-0.152049,-0.941264
136,-0.586937,-0.230954,-0.963529
365,1.581096,0.014527,-0.106013
384,-0.451578,-0.69123,0.090554
81,-0.467048,0.930698,1.430264
306,-0.428374,-0.857807,-0.761237
282,1.313894,0.851793,0.767407
475,-0.483045,0.010144,0.042844
118,0.688077,2.329063,1.515507
55,-0.658133,-0.327392,-1.062767
557,-0.966822,-1.098904,-1.162132
284,-0.500975,-1.451345,-0.143545
256,1.837752,-0.187118,1.772508
426,-0.773804,0.014527,0.288394
387,-0.237816,-2.083458,-0.833121
497,-0.480408,-0.209036,-0.023315
298,-0.107027,-1.662195,-0.238966
157,0.266178,-1.956334,-0.529682
249,-0.683447,0.28631,-0.611108
342,-0.774507,0.413434,-0.211612
508,0.083706,0.132884,-0.751695
267,-0.385129,-1.396988,-0.516959
338,-0.87295,0.343297,-0.725613
360,-0.518379,-1.728826,-1.342223
12,0.793551,-1.256713,0.865372
210,1.363115,-0.638627,0.240047
533,1.343778,-0.993698,-0.005503
167,0.666982,-0.682463,-0.269501
79,-0.454391,-0.152049,-0.255506
369,2.366883,-0.130131,0.853922
437,-0.229554,-0.564106,-0.821034
485,-0.527344,-0.651778,0.965882
408,0.823436,0.693984,0.758501
308,-0.319735,-1.847183,-1.24623
414,0.089332,-0.770135,-0.989865
41,-0.644421,2.565776,0.098824
276,-0.742864,-0.283557,-1.150045
146,-0.507831,0.268776,0.985603
405,-0.71755,0.172337,-0.571667
35,0.612486,1.049055,0.822115
13,-0.007178,-0.844656,-0.393548
166,-0.820212,0.492339,-0.817853
173,-0.850976,-0.472051,-1.093302
531,-0.580082,0.992068,0.268037
388,-0.756928,-0.97178,0.169436
205,0.191466,0.733436,0.5015
6,1.27522,0.51864,0.021215
144,-0.772397,-1.085753,-0.839482
540,-0.743216,0.093432,-0.270137
30,1.387726,0.733436,1.090566
435,-0.019835,1.268234,0.652266
31,0.014269,1.37344,2.056226
203,0.478885,3.955374,1.696171
59,-1.064738,1.794265,-0.829304
95,1.528359,-0.586024,0.633818
37,-0.588344,-1.549975,-1.323648
331,-0.432944,-0.156432,0.451882
237,1.528359,-0.419448,-0.147362
10,0.473611,-0.625477,-0.630828
389,0.760151,-0.318625,-0.08184
324,-0.522949,-0.296707,-0.391004
179,-0.544747,-0.708765,-1.271103
220,-0.30655,-0.05561,-0.043671
50,-0.640026,-1.046301,-1.069447
401,-0.511699,0.220556,-0.615561
368,3.977131,0.172337,-0.581845
29,0.608971,-0.301091,0.171344
78,1.305104,1.382207,2.303684
204,-0.356299,0.448503,-0.104741
214,-0.121794,1.03152,0.96461
127,1.155681,-1.326851,-0.177261
46,-1.122222,-0.11698,-0.754239
554,-0.5008,-0.423831,-0.586935
449,2.006511,0.194255,0.355188
564,2.015301,0.378365,-0.273318
297,-0.574808,-0.818354,-1.110223
491,0.579086,-1.4794,-0.982868
492,0.958795,-0.064377,-0.137184
181,2.124291,0.733436,3.207003
427,-0.68749,-0.090679,-0.538588
471,-0.550197,-1.239179,-0.998771
515,-0.706651,0.698367,-0.616197
445,-0.644597,-0.05561,-0.458434
506,-0.642136,0.343297,-0.144817
93,-0.318504,0.067131,-0.5036
453,-0.22973,0.102199,-0.677266
357,-0.327294,-0.748217,-0.976252
544,-0.33749,-0.261639,-0.321664
26,0.028684,0.882478,2.608395
356,-0.50871,0.084665,0.073378
227,-0.127243,-0.822738,0.689798
377,-0.351553,-0.945479,-0.690625
234,-0.957505,0.790423,-1.012194
341,-0.92639,-0.39753,0.555572
129,1.245335,-0.213419,0.838655
289,-0.740579,-0.901643,-0.999916
539,-1.154919,1.193713,0.331651
145,-0.652156,0.439736,-0.016317
138,0.159648,0.382749,-0.240875
410,-0.631588,0.56686,-0.585662
56,2.222734,1.316453,0.616006
216,-0.614185,0.356447,0.320201
281,-0.60979,-1.261097,-1.076762
16,0.452516,0.615079,-0.427264
444,0.723235,-0.266022,0.078468
547,-0.91971,0.601928,-0.188711
270,-0.344521,-2.047074,-1.297121
44,-0.245902,0.786039,0.866009
34,0.66874,0.536175,2.074674
371,-0.108082,-0.866574,-0.512506
310,-0.698741,-0.441366,-0.925997
538,-1.112026,-0.296707,-1.08694
72,1.407063,1.145493,3.086136
73,-0.11986,0.382749,0.635726
279,-0.370187,-0.607942,-0.520776
196,-0.129529,1.811799,0.368547
74,-0.473728,-0.647394,-0.445075
23,3.048953,0.338913,0.036482
334,-0.591156,-0.445749,-1.041647
400,0.74433,2.407967,2.146558
431,-0.641257,0.553709,0.05493
254,1.918616,0.759738,0.393357
48,-0.523828,0.746587,-0.245964
130,-0.589574,0.452886,0.02694
555,-0.919359,0.264392,-0.529682
520,-0.973854,2.307145,-0.283496
122,2.096165,1.632072,1.082296
496,-0.433999,0.917547,0.826568
225,-0.012979,-0.11698,-0.647368
326,-0.22973,-0.187118,-0.912002
106,-0.630885,1.597003,0.074651
381,-0.762026,-1.002465,-0.356652
415,-0.628776,0.448503,-0.226243
71,-1.048038,-0.511503,-0.067845
558,-0.258559,-1.304933,0.399718
21,-0.994422,0.001377,-0.887193
316,-0.646003,-1.414523,-1.278291
463,-0.677646,0.080281,-0.46734
454,-0.434351,-0.432599,-0.652457
413,-0.023702,-1.08137,0.510406
330,0.332978,0.487955,1.231153
468,0.978132,-0.511503,1.426448
322,-0.49412,0.978917,-0.198253
307,-1.046104,-1.479838,-1.284653
373,1.87291,1.044671,0.325926
304,-0.686963,-0.787669,-0.479427
529,-0.581312,0.864944,-0.579301
40,-0.162929,-1.006849,-0.317847
115,-0.523125,0.772888,-0.091382
2,1.456285,0.527407,1.082932
39,-0.24643,1.255083,1.070209
