"id","total","CentralLuzon","IlocosRegion","MetroManila","Visayas","age2","exposure"
1,0,1,0,0,0,0.719260823433585,1
2,3,0,0,1,0,2.36685654904978,1
3,4,0,0,0,0,0.00786575768916145,1
4,3,0,0,0,1,0.0657892931502316,1
5,3,0,0,1,0,2.15920242197777,1
6,6,0,0,0,1,0.18824530284138,1
7,5,0,0,1,0,0.00786575768916145,1
8,5,0,0,0,1,0.654137357563585,1
9,6,0,0,0,1,0.0351403396089544,1
10,4,1,0,0,0,0.18824530284138,1
11,2,1,0,0,0,1.77249053750734,1
12,3,0,0,1,0,1.33164890261921,1
13,7,1,0,0,0,0.547231418226055,1
14,4,0,0,0,0,0.896545605912239,1
15,5,1,0,0,0,0.719260823433585,1
16,4,0,0,0,0,0.0514212060764543,1
17,2,0,0,0,1,0.0874971151068981,1
18,2,0,1,0,0,0.18824530284138,1
19,2,0,0,0,1,0.841125841484812,1
20,5,0,1,0,0,0.155683569906381,1
21,10,0,0,1,0,0.841125841484812,1
22,4,0,0,1,0,1.33164890261921,1
23,6,0,0,0,1,0.155683569906381,1
24,4,0,0,0,0,0.000386218332312358,1
25,1,0,0,0,1,0.504127157004724,1
26,5,0,1,0,0,0.155683569906381,1
27,3,0,0,0,1,0.252917581545419,1
28,0,0,0,1,0,2.58404279934633,1
29,1,0,0,0,0,2.58404279934633,1
30,2,0,0,0,1,1.17708234715902,1
31,0,0,0,0,1,0.327121983473989,1
32,9,0,0,0,1,0.0514212060764543,1
33,3,0,0,1,0,3.92995317965492,1
34,1,0,0,0,1,0.0874971151068981,1
35,7,0,0,0,1,1.42390714593504,1
36,3,0,0,1,0,0.0248774202705421,1
37,5,0,0,0,1,0.41085850862709,1
38,5,1,0,0,0,0.0248774202705421,1
39,2,0,0,0,0,2.6805142411274,1
40,3,1,0,0,0,0.00786575768916145,1
41,4,0,1,0,0,1.42390714593504,1
42,4,0,1,0,0,0.000386218332312358,1
43,5,1,0,0,0,0.449857602113057,1
44,3,0,0,1,0,0.0514212060764543,1
45,10,0,0,0,1,1.03204791492336,1
46,1,0,0,1,0,0.896545605912239,1
47,1,0,0,0,1,0.10597036991604,1
48,7,0,0,0,1,2.8107611728674,1
49,1,0,0,0,1,0.972522982760572,1
50,8,0,0,0,0,0.0351403396089544,1
51,0,0,0,0,1,0.41085850862709,1
52,3,0,1,0,0,2.15920242197777,1
53,3,0,0,1,0,0.0657892931502316,1
54,6,0,0,1,0,0.252917581545419,1
55,2,0,0,0,0,0.10597036991604,1
56,1,0,0,1,0,0.0351403396089544,1
57,1,0,0,1,0,0.0657892931502316,1
58,11,0,0,0,1,0.0140235092922089,1
59,2,0,0,0,0,0.719260823433585,1
60,4,0,0,0,0,0.362015909224591,1
61,5,0,0,0,0,0.155683569906381,1
62,1,0,0,1,0,0.0351403396089544,1
63,0,0,1,0,0,1.42390714593504,1
64,3,1,0,0,0,0.00786575768916145,1
65,8,0,0,0,1,0.283706339560656,1
66,5,1,0,0,0,0.770575420125646,1
67,6,0,0,0,1,0.719260823433585,1
68,2,0,0,0,0,0.10597036991604,1
69,3,0,0,1,0,0.896545605912239,1
70,3,1,0,0,0,0.000386218332312358,1
71,4,0,0,0,1,0.0248774202705421,1
72,5,0,0,0,1,0.10597036991604,1
73,2,0,0,0,1,2.45922282309549,1
74,4,0,0,0,1,2.04523635670527,1
75,0,0,0,1,0,0.0514212060764543,1
76,3,1,0,0,0,2.04523635670527,1
77,0,0,0,0,1,0.000386218332312358,1
78,3,0,0,1,0,0.547231418226055,1
79,7,1,0,0,0,0.504127157004724,1
80,0,0,0,0,0,1.26391363498569,1
81,1,0,0,0,1,2.15920242197777,1
82,7,1,0,0,0,0.10597036991604,1
83,1,0,1,0,0,4.66468923780181,1
84,3,1,0,0,0,0.0140235092922089,1
85,7,0,1,0,0,0.0351403396089544,1
86,3,0,0,1,0,1.17708234715902,1
87,15,0,0,0,1,0.0514212060764543,1
88,2,0,0,0,1,0.719260823433585,1
89,2,0,0,0,1,0.252917581545419,1
90,4,0,0,0,1,0.283706339560656,1
91,4,0,0,0,0,1.33164890261921,1
92,7,0,0,0,1,0.0657892931502316,1
93,5,0,0,0,1,0.896545605912239,1
94,0,0,0,0,1,1.77249053750734,1
95,4,0,0,1,0,0.449857602113057,1
96,2,0,0,0,1,0.18824530284138,1
97,5,0,0,0,1,0.606927928606888,1
98,2,1,0,0,0,0.606927928606888,1
99,3,0,0,0,1,0.0657892931502316,1
100,4,0,0,0,1,0.547231418226055,1
101,2,0,0,1,0,1.03204791492336,1
102,4,1,0,0,0,0.362015909224591,1
103,2,0,1,0,0,2.15920242197777,1
104,2,0,0,0,0,0.719260823433585,1
105,3,0,0,0,0,0.0351403396089544,1
106,5,0,0,0,1,0.155683569906381,1
107,5,0,0,1,0,0.00243880219999482,1
108,4,0,0,1,0,0.0248774202705421,1
109,4,0,0,0,1,2.45922282309549,1
110,8,0,0,0,1,0.770575420125646,1
111,3,0,0,1,0,4.37124600170902,1
112,4,0,0,0,0,2.45922282309549,1
113,1,1,0,0,0,0.606927928606888,1
114,3,0,0,0,1,0.327121983473989,1
115,3,1,0,0,0,1.03204791492336,1
116,3,0,0,1,0,1.66937838321318,1
117,5,0,0,0,1,0.770575420125646,1
118,1,1,0,0,0,1.26391363498569,1
119,3,0,0,0,1,1.11345224726086,1
120,6,0,0,0,0,0.00243880219999482,1
121,2,0,0,0,1,1.26391363498569,1
122,6,0,0,0,1,0.0248774202705421,1
123,6,0,1,0,0,3.04701166961301,1
124,2,1,0,0,0,0.719260823433585,1
125,4,0,0,0,1,1.49574758130393,1
126,0,1,0,0,0,1.59343278010892,1
127,4,1,0,0,0,2.45922282309549,1
128,3,0,0,0,1,1.66937838321318,1
129,6,0,0,0,1,0.0657892931502316,1
130,5,1,0,0,0,3.81295589919702,1
131,11,0,0,0,1,0.155683569906381,1
132,3,0,0,0,1,0.133105147361873,1
133,2,0,1,0,0,5.41769519879572,1
134,3,0,0,0,0,0.327121983473989,1
135,3,0,0,0,1,2.24746352828812,1
136,6,0,0,0,1,1.66937838321318,1
137,2,0,0,0,0,0.0351403396089544,1
138,4,0,0,1,0,1.33164890261921,1
139,5,0,1,0,0,0.770575420125646,1
140,4,0,0,0,1,1.33164890261921,1
141,2,0,0,0,1,0.0514212060764543,1
142,10,0,0,0,0,0.719260823433585,1
143,2,0,1,0,0,1.96108041813029,1
144,2,0,0,0,1,3.92995317965492,1
145,1,0,0,1,0,2.45922282309549,1
146,7,0,0,0,1,0.0874971151068981,1
147,4,0,0,0,0,0.362015909224591,1
148,5,1,0,0,0,0.155683569906381,1
149,0,0,0,0,1,4.37124600170902,1
150,4,0,0,1,0,0.0657892931502316,1
151,1,0,0,0,0,0.547231418226055,1
152,3,0,0,0,1,0.606927928606888,1
153,2,0,0,0,1,3.92995317965492,1
154,2,0,0,0,1,0.18824530284138,1
155,1,0,0,1,0,1.11345224726086,1
156,0,1,0,0,0,7.73462390774089,1
157,3,1,0,0,0,1.03204791492336,1
158,2,0,0,1,0,0.841125841484812,1
159,4,0,0,1,0,0.449857602113057,1
160,3,0,0,0,1,0.133105147361873,1
161,4,0,0,0,0,1.85254130834696,1
162,3,0,0,1,0,3.04701166961301,1
163,0,0,0,1,0,0.547231418226055,1
164,6,0,0,1,0,0.155683569906381,1
165,3,0,0,0,1,2.15920242197777,1
166,4,0,1,0,0,2.6805142411274,1
167,4,0,0,1,0,0.654137357563585,1
168,3,0,0,0,0,3.29279428958315,1
169,1,1,0,0,0,5.60221168542739,1
170,4,0,0,1,0,0.0140235092922089,1
171,4,1,0,0,0,1.96108041813029,1
172,7,0,0,1,0,0.10597036991604,1
173,5,0,0,1,0,0.972522982760572,1
174,1,0,0,0,1,1.96108041813029,1
175,3,0,1,0,0,2.04523635670527,1
176,2,0,1,0,0,4.66468923780181,1
177,5,0,0,0,1,3.04701166961301,1
178,2,0,1,0,0,0.362015909224591,1
179,4,0,0,0,0,2.58404279934633,1
180,1,1,0,0,0,0.0514212060764543,1
181,2,1,0,0,0,0.133105147361873,1
182,7,0,0,0,1,0.0351403396089544,1
183,7,1,0,0,0,2.8107611728674,1
184,4,0,0,0,0,0.719260823433585,1
185,6,0,0,1,0,0.155683569906381,1
186,1,1,0,0,0,0.0351403396089544,1
187,3,0,0,1,0,1.33164890261921,1
188,5,0,0,0,1,0.133105147361873,1
189,5,0,0,0,1,0.133105147361873,1
190,3,0,0,0,1,2.6805142411274,1
191,8,0,0,0,1,1.11345224726086,1
192,3,1,0,0,0,3.15169344686481,1
193,5,0,0,1,0,0.362015909224591,1
194,1,0,0,0,0,1.42390714593504,1
195,5,0,0,0,0,0.252917581545419,1
196,3,0,0,0,1,0.896545605912239,1
197,4,0,0,0,0,0.0351403396089544,1
198,4,0,0,0,1,1.49574758130393,1
199,7,0,0,0,1,5.93378341441831,1
200,5,0,0,0,1,0.00786575768916145,1
201,3,0,0,0,1,0.133105147361873,1
202,8,0,0,0,0,0.0874971151068981,1
203,5,0,0,0,1,3.40158123457032,1
204,3,0,0,0,1,0.0514212060764543,1
205,3,0,0,0,0,0.362015909224591,1
206,6,0,0,0,1,0.606927928606888,1
207,5,0,0,0,1,0.0248774202705421,1
208,3,0,0,0,0,0.18824530284138,1
209,2,0,0,0,1,4.20843733703402,1
210,5,0,0,0,0,0.00786575768916145,1
211,6,0,1,0,0,0.654137357563585,1
212,2,0,0,0,1,0.00786575768916145,1
213,4,0,0,0,1,0.0351403396089544,1
214,4,0,0,0,0,0.0351403396089544,1
215,6,0,1,0,0,0.0657892931502316,1
216,5,0,0,0,1,0.449857602113057,1
217,5,0,0,0,1,3.66100114550035,1
218,5,0,0,1,0,0.0248774202705421,1
219,2,0,0,0,1,0.770575420125646,1
220,4,0,0,1,0,0.0140235092922089,1
221,3,0,0,0,0,1.49574758130393,1
222,3,0,0,1,0,0.252917581545419,1
223,5,0,0,0,0,0.896545605912239,1
224,4,0,0,0,1,1.85254130834696,1
225,5,0,0,0,1,0.214928893121252,1
226,2,0,0,0,1,1.17708234715902,1
227,6,0,0,1,0,1.33164890261921,1
228,9,0,0,0,1,0.0351403396089544,1
229,3,0,1,0,0,0.362015909224591,1
230,1,0,1,0,0,3.04701166961301,1
231,0,0,1,0,0,1.77249053750734,1
232,2,0,0,0,1,1.03204791492336,1
233,3,0,0,0,1,0.00243880219999482,1
234,3,0,1,0,0,0.770575420125646,1
235,4,0,1,0,0,0.362015909224591,1
236,2,0,0,0,1,0.0248774202705421,1
237,5,0,0,0,1,0.000386218332312358,1
238,1,0,1,0,0,2.36685654904978,1
239,2,1,0,0,0,5.1010825485185,1
240,0,0,0,0,0,2.15920242197777,1
241,6,0,0,0,1,1.66937838321318,1
242,4,0,0,0,1,1.85254130834696,1
243,3,0,0,0,1,0.972522982760572,1
244,3,0,0,1,0,0.0657892931502316,1
245,4,0,1,0,0,1.49574758130393,1
246,7,0,0,0,1,0.654137357563585,1
247,0,0,1,0,0,1.03204791492336,1
248,0,0,0,1,0,0.0514212060764543,1
249,6,0,0,0,0,0.504127157004724,1
250,0,0,1,0,0,3.54810903277782,1
251,1,0,0,0,1,3.54810903277782,1
252,0,0,0,1,0,2.36685654904978,1
253,0,0,0,0,1,0.606927928606888,1
254,2,0,0,1,0,0.252917581545419,1
255,2,0,0,1,0,3.15169344686481,1
256,3,0,0,1,0,0.283706339560656,1
257,5,0,1,0,0,0.896545605912239,1
258,1,0,0,1,0,1.33164890261921,1
259,2,0,0,0,1,2.58404279934633,1
260,4,0,0,1,0,0.0140235092922089,1
261,5,0,0,0,1,0.10597036991604,1
262,16,0,0,0,1,1.59343278010892,1
263,4,0,0,1,0,0.214928893121252,1
264,2,0,0,0,1,2.04523635670527,1
265,2,0,0,0,1,1.96108041813029,1
266,2,0,1,0,0,0.841125841484812,1
267,5,0,1,0,0,1.85254130834696,1
268,1,0,0,0,1,0.0874971151068981,1
269,2,0,0,1,0,0.841125841484812,1
270,2,0,0,0,1,3.54810903277782,1
271,6,0,0,0,1,0.327121983473989,1
272,2,1,0,0,0,0.972522982760572,1
273,6,0,0,1,0,0.133105147361873,1
274,12,0,0,0,1,0.719260823433585,1
275,5,0,0,1,0,0.327121983473989,1
276,4,1,0,0,0,0.606927928606888,1
277,2,0,0,1,0,0.0140235092922089,1
278,1,1,0,0,0,0.362015909224591,1
279,3,1,0,0,0,1.26391363498569,1
280,1,0,0,0,1,0.283706339560656,1
281,1,0,0,0,1,1.77249053750734,1
282,3,1,0,0,0,0.41085850862709,1
283,5,0,1,0,0,1.66937838321318,1
284,2,0,0,1,0,2.45922282309549,1
285,4,1,0,0,0,0.547231418226055,1
286,2,0,0,0,1,2.15920242197777,1
287,4,0,0,1,0,0.00243880219999482,1
288,0,0,0,0,0,0.133105147361873,1
289,4,0,0,0,1,0.654137357563585,1
290,7,0,0,0,0,0.972522982760572,1
291,5,1,0,0,0,0.770575420125646,1
292,4,0,0,1,0,1.85254130834696,1
293,3,0,0,0,1,0.214928893121252,1
294,1,0,0,1,0,0.362015909224591,1
295,3,0,0,0,1,0.449857602113057,1
296,2,0,0,0,1,0.00243880219999482,1
297,3,0,0,1,0,1.96108041813029,1
298,4,0,1,0,0,0.770575420125646,1
299,3,0,0,0,1,2.45922282309549,1
300,5,0,0,0,1,0.000386218332312358,1
301,4,0,1,0,0,0.00243880219999482,1
302,3,0,0,0,0,1.03204791492336,1
303,3,0,0,0,0,0.719260823433585,1
304,2,0,0,0,1,0.719260823433585,1
305,4,0,0,0,1,0.0140235092922089,1
306,2,0,0,1,0,2.15920242197777,1
307,5,0,0,1,0,0.547231418226055,1
308,4,0,0,0,1,0.283706339560656,1
309,4,0,0,0,1,0.0657892931502316,1
310,2,0,0,0,0,0.0351403396089544,1
311,0,0,0,0,1,2.8107611728674,1
312,7,0,0,0,1,0.362015909224591,1
313,7,0,0,0,1,0.449857602113057,1
314,4,0,0,0,1,2.91133778238384,1
315,5,0,1,0,0,0.252917581545419,1
316,1,0,0,0,0,0.896545605912239,1
317,1,0,0,0,1,2.58404279934633,1
318,2,0,0,0,1,0.00243880219999482,1
319,1,1,0,0,0,2.24746352828812,1
320,10,0,0,1,0,0.327121983473989,1
321,8,1,0,0,0,0.10597036991604,1
322,9,0,0,0,1,0.896545605912239,1
323,4,0,1,0,0,0.283706339560656,1
324,2,0,0,0,1,0.0351403396089544,1
325,10,1,0,0,0,0.841125841484812,1
326,5,1,0,0,0,0.18824530284138,1
327,1,0,1,0,0,1.59343278010892,1
328,0,0,0,0,1,1.96108041813029,1
329,3,0,0,1,0,0.896545605912239,1
330,6,0,0,0,1,0.214928893121252,1
331,3,0,0,1,0,1.26391363498569,1
332,6,0,0,0,1,1.96108041813029,1
333,3,1,0,0,0,0.000386218332312358,1
334,7,0,0,0,1,0.133105147361873,1
335,9,0,0,0,1,0.972522982760572,1
336,3,0,0,1,0,0.155683569906381,1
337,4,0,0,0,0,0.10597036991604,1
338,2,0,0,0,1,0.155683569906381,1
339,2,0,0,0,1,0.0874971151068981,1
340,5,0,0,1,0,1.33164890261921,1
341,1,0,0,1,0,0.0874971151068981,1
342,4,0,0,0,0,0.0351403396089544,1
343,1,1,0,0,0,3.29279428958315,1
344,2,1,0,0,0,0.0351403396089544,1
345,4,1,0,0,0,1.03204791492336,1
346,4,0,1,0,0,0.770575420125646,1
347,6,0,0,0,1,0.449857602113057,1
348,4,0,1,0,0,0.362015909224591,1
349,6,0,0,0,1,0.0248774202705421,1
350,4,0,0,1,0,0.547231418226055,1
351,2,0,0,1,0,2.04523635670527,1
352,7,0,0,0,0,2.36685654904978,1
353,3,0,0,0,1,0.654137357563585,1
354,3,0,0,0,1,0.10597036991604,1
355,3,0,0,0,1,0.214928893121252,1
356,3,0,0,0,1,0.214928893121252,1
357,3,0,0,1,0,2.04523635670527,1
358,4,1,0,0,0,0.10597036991604,1
359,3,1,0,0,0,1.26391363498569,1
360,1,1,0,0,0,3.04701166961301,1
361,1,0,0,0,1,2.58404279934633,1
362,10,0,0,1,0,0.719260823433585,1
363,4,0,0,1,0,0.972522982760572,1
364,1,0,0,1,0,0.841125841484812,1
365,1,0,0,0,1,0.18824530284138,1
366,4,0,0,0,1,1.33164890261921,1
367,4,0,0,0,1,1.49574758130393,1
368,8,0,0,0,1,0.000386218332312358,1
369,6,1,0,0,0,0.000386218332312358,1
370,6,0,0,0,1,0.719260823433585,1
371,5,0,0,0,1,1.49574758130393,1
372,2,0,0,0,1,0.327121983473989,1
373,5,0,0,0,1,0.362015909224591,1
374,6,0,0,1,0,2.36685654904978,1
375,2,0,0,0,1,0.841125841484812,1
376,2,0,0,0,1,0.41085850862709,1
377,2,0,0,0,1,2.45922282309549,1
378,4,0,1,0,0,0.000386218332312358,1
379,7,0,0,0,1,0.0657892931502316,1
380,2,0,1,0,0,0.606927928606888,1
381,4,0,0,1,0,1.66937838321318,1
382,1,0,0,0,1,0.327121983473989,1
383,2,0,0,1,0,0.252917581545419,1
384,3,1,0,0,0,0.327121983473989,1
385,5,0,0,1,0,0.41085850862709,1
386,2,0,0,0,1,0.362015909224591,1
387,0,1,0,0,0,4.66468923780181,1
388,2,1,0,0,0,0.18824530284138,1
389,1,0,0,0,0,0.606927928606888,1
390,4,0,0,0,1,1.33164890261921,1
391,9,0,0,0,1,0.896545605912239,1
392,2,0,0,0,0,8.12338837607901,1
393,2,1,0,0,0,0.0351403396089544,1
394,3,1,0,0,0,0.504127157004724,1
395,0,0,1,0,0,0.896545605912239,1
396,5,0,0,0,1,0.0140235092922089,1
397,4,0,0,0,0,0.606927928606888,1
398,6,0,0,0,1,0.0657892931502316,1
399,3,0,1,0,0,0.10597036991604,1
400,0,0,0,1,0,0.18824530284138,1
401,3,0,0,1,0,0.18824530284138,1
402,1,1,0,0,0,4.66468923780181,1
403,1,0,0,0,0,5.1010825485185,1
404,6,0,0,0,1,0.155683569906381,1
405,2,0,0,0,1,3.40158123457032,1
406,1,1,0,0,0,0.654137357563585,1
407,5,0,0,0,1,0.00786575768916145,1
408,7,0,0,0,1,0.0248774202705421,1
409,5,0,0,0,1,0.327121983473989,1
410,2,0,0,1,0,1.03204791492336,1
411,3,0,0,0,0,0.770575420125646,1
412,9,0,0,0,1,1.17708234715902,1
413,4,0,1,0,0,1.85254130834696,1
414,6,0,0,1,0,0.0351403396089544,1
415,3,0,0,1,0,0.10597036991604,1
416,0,0,0,0,1,0.00243880219999482,1
417,1,0,0,0,1,2.8107611728674,1
418,4,0,0,0,1,0.327121983473989,1
419,5,1,0,0,0,0.00243880219999482,1
420,4,0,0,0,1,1.77249053750734,1
421,4,0,1,0,0,4.08733488884075,1
422,3,0,0,0,1,1.59343278010892,1
423,3,0,1,0,0,0.449857602113057,1
424,1,0,0,0,1,0.18824530284138,1
425,9,0,0,0,1,1.42390714593504,1
426,0,0,0,0,1,4.20843733703402,1
427,5,0,0,1,0,0.00786575768916145,1
428,2,0,0,0,0,1.66937838321318,1
429,0,0,0,0,1,1.11345224726086,1
430,4,0,0,0,1,0.0351403396089544,1
431,6,0,0,0,1,0.155683569906381,1
432,12,0,0,0,1,0.10597036991604,1
433,3,0,0,0,1,0.155683569906381,1
434,5,1,0,0,0,0.283706339560656,1
435,2,0,1,0,0,1.96108041813029,1
436,2,0,0,1,0,0.0248774202705421,1
437,3,1,0,0,0,0.770575420125646,1
438,1,0,0,0,1,3.29279428958315,1
439,2,0,0,0,1,1.11345224726086,1
440,5,0,0,0,1,0.0248774202705421,1
441,6,0,1,0,0,0.000386218332312358,1
442,3,1,0,0,0,2.04523635670527,1
443,3,0,0,1,0,0.449857602113057,1
444,2,0,0,0,0,1.33164890261921,1
445,3,0,0,0,0,1.49574758130393,1
446,5,1,0,0,0,0.654137357563585,1
447,2,0,0,1,0,0.547231418226055,1
448,3,0,0,0,1,0.719260823433585,1
449,4,1,0,0,0,0.719260823433585,1
450,5,0,0,1,0,0.283706339560656,1
451,2,0,1,0,0,0.283706339560656,1
452,1,0,0,0,1,1.26391363498569,1
453,6,0,0,0,1,1.49574758130393,1
454,2,0,0,1,0,3.15169344686481,1
455,1,0,0,1,0,0.41085850862709,1
456,5,0,0,1,0,0.252917581545419,1
457,2,0,0,0,1,0.547231418226055,1
458,9,0,0,0,0,0.214928893121252,1
459,4,0,0,0,1,0.770575420125646,1
460,5,0,0,0,0,0.00786575768916145,1
461,5,0,0,0,1,1.17708234715902,1
462,4,0,0,0,1,0.214928893121252,1
463,1,0,1,0,0,1.17708234715902,1
464,4,0,0,0,1,1.17708234715902,1
465,6,0,1,0,0,0.0874971151068981,1
466,5,0,0,1,0,0.504127157004724,1
467,6,0,0,0,1,0.606927928606888,1
468,2,0,0,0,1,0.327121983473989,1
469,3,0,0,0,1,0.155683569906381,1
470,4,0,0,1,0,0.0657892931502316,1
471,4,0,0,0,0,0.00786575768916145,1
472,3,0,0,1,0,0.0351403396089544,1
473,3,0,0,1,0,0.0514212060764543,1
474,4,0,0,0,0,0.0140235092922089,1
475,2,0,0,0,1,0.547231418226055,1
476,3,1,0,0,0,0.00243880219999482,1
477,1,0,0,0,1,0.133105147361873,1
478,1,0,0,0,1,0.214928893121252,1
479,3,0,0,1,0,1.03204791492336,1
480,6,1,0,0,0,0.606927928606888,1
481,8,0,0,0,1,0.770575420125646,1
482,2,0,1,0,0,1.49574758130393,1
483,5,0,0,0,1,1.26391363498569,1
484,3,1,0,0,0,4.37124600170902,1
485,4,0,1,0,0,0.41085850862709,1
486,1,0,0,1,0,0.283706339560656,1
487,4,0,0,1,0,0.00786575768916145,1
488,0,0,1,0,0,0.972522982760572,1
489,3,0,1,0,0,1.85254130834696,1
490,5,0,1,0,0,0.449857602113057,1
491,5,0,0,0,1,0.283706339560656,1
492,5,1,0,0,0,2.45922282309549,1
493,4,0,0,0,1,2.45922282309549,1
494,2,0,0,0,1,4.08733488884075,1
495,1,1,0,0,0,0.896545605912239,1
496,4,0,0,0,1,2.45922282309549,1
497,2,1,0,0,0,0.10597036991604,1
498,1,0,0,0,1,0.449857602113057,1
499,2,0,0,0,0,4.20843733703402,1
500,3,0,0,1,0,1.33164890261921,1
501,4,0,0,0,0,0.896545605912239,1
502,5,0,1,0,0,0.00243880219999482,1
503,3,0,0,0,1,0.18824530284138,1
504,3,0,0,1,0,1.03204791492336,1
505,4,0,1,0,0,2.15920242197777,1
