idx,u_q,torque,i_d,i_q
1,1.7047329,-0.34220606,0.9947208,-0.3497908
2,-1.3278744,-0.25563973,1.0291426,-0.24572322
3,-0.77599895,1.311668,0.14759797,1.4429615
4,1.7174115,-0.24990642,-0.36269844,-0.24259351
5,-0.2978523,-2.1496685,-1.1808901,-2.0303578
6,-0.024507811,1.2844838,0.15834926,1.4141186
7,-1.0740628,-1.9825226,0.08838202,-2.0910292
8,0.08780151,0.4759891,-1.4944829,0.4078535
9,1.1554974,0.08737562,-0.9338304,0.054165144
10,-1.2979931,-0.25563973,1.0291377,-0.24571414
11,1.510687,0.073977545,-0.33055404,0.07815496
12,0.823997,0.31022403,-0.9272879,0.25852406
13,0.7937869,-0.9398079,0.8135002,-1.0359861
14,0.4581313,1.1337963,-0.4872721,1.1112734
15,1.1689605,-0.97327256,-0.08949227,-0.97424257
16,1.6838067,-0.3066893,-0.16993272,-0.2968738
17,-1.293298,-0.25563973,1.0291374,-0.24573731
18,-0.14407136,1.1443145,0.27429867,1.2848253
19,0.29500997,-0.6978595,0.9222077,-0.76435333
20,1.569873,-0.18940276,1.0056527,-0.16480829
21,0.7108077,0.41243002,-1.1040355,0.34621742
22,-0.0409287,0.9723981,-1.2282238,0.8971251
23,-0.16658328,1.8035713,-1.0736994,1.7196451
24,1.043806,0.3614113,-0.6306577,0.3307597
25,-0.1540584,-0.57405525,0.99428177,-0.6174071
26,-0.7427696,-1.545181,0.42271328,-1.6684697
27,0.25005147,1.6208324,-0.16841741,1.7166469
28,0.36335403,0.8530589,-0.89687765,0.7872518
29,1.0089934,0.4207437,0.7905958,0.54043597
30,-1.3149108,-0.25563973,1.0291345,-0.24572106
31,1.6131557,-0.520292,-0.62624204,-0.49757895
32,-0.3644495,0.70567775,-1.8024962,0.53593075
33,0.7158987,0.60425746,0.6657779,0.73548156
34,-0.35008615,-2.0900104,-1.1804942,-1.9724045
35,0.51204884,0.28606457,-1.369184,0.23412962
36,1.2887158,0.35708636,0.7765293,0.46254057
37,0.8956522,-0.26110467,1.0291772,-0.245707
38,-1.1692077,0.40288135,0.8201236,0.4869198
39,0.12778981,-0.8795829,0.84433043,-0.9696177
40,-1.2505407,-0.25563973,1.0291487,-0.24571614
41,1.5133644,0.15252443,0.28421465,0.1868977
42,0.724602,-0.96727514,-1.1041307,-0.8927988
43,0.7450801,0.3499834,-1.0799043,0.30455378
44,0.121442884,1.0477319,-0.9603878,0.9726926
45,0.63692087,-1.2796249,-0.5899001,-1.2359453
46,0.016510993,-1.7675643,-0.8411437,-1.6983513
47,-1.3277125,-0.255584,1.0291163,-0.24565864
48,1.6174637,-0.30031872,-0.50497806,-0.28796223
49,0.18134962,-2.1394541,-0.10749623,-2.2241645
50,-1.2494832,-0.25563973,1.0291301,-0.24571879
51,-0.7326132,-0.25563973,1.029138,-0.24571222
52,0.7406973,0.68474495,0.6154699,0.8209655
53,-0.11914612,-2.3309186,-0.54209596,-2.3366091
54,-1.3270911,-0.25554267,1.02911,-0.24560396
55,0.73878586,0.35378334,-1.080788,0.304538
56,-0.74069315,1.5462998,-1.9399202,1.3478204
57,0.78922385,-1.0744646,-0.85127366,-1.010766
58,-0.7127972,0.46915916,-1.8963984,0.3685979
59,-1.1848449,-0.11817244,1.0139837,-0.09144154
60,-0.55568945,-2.1476028,-0.03578513,-2.2489114
61,1.5034838,0.086524785,-0.24197105,0.094579235
62,-1.2927213,-0.25563973,1.0291357,-0.24569902
63,1.1659238,0.18698813,0.9110187,0.27958602
64,-0.4118878,-2.679315,-0.5688631,-2.7265184
65,0.5982105,0.6089589,-0.7779567,0.5549157
66,-1.0622907,1.8936982,-2.5046256,1.600986
67,-0.2513316,-0.12030715,1.0139836,-0.09143945
68,-1.2514154,-0.25563973,1.0291476,-0.24572416
69,-1.2963495,-0.25563973,1.0291541,-0.2457374
70,-0.63975376,0.983904,-1.9530226,0.82559586
71,0.73639166,0.34309784,-1.024896,0.3091197
72,-0.093730554,1.0013586,-1.3186734,0.88900375
73,0.83793306,0.32644403,0.8501571,0.41710395
74,1.6399752,-0.06452077,-0.19437718,-0.05537562
75,-1.2601042,-0.2205472,1.0291501,-0.24570398
76,1.1219126,0.2089332,-0.7138351,0.17896251
77,0.9170553,-0.26048765,1.0291846,-0.24572772
78,0.15871547,-1.7151873,-0.733561,-1.6587161
79,-0.50108504,-2.0923638,0.008493064,-2.1969113
80,1.682907,-0.26427892,-0.7691308,-0.2550195
81,0.87346727,-1.037279,-0.6546936,-0.98723185
82,-0.6741555,0.6866539,-1.927734,0.5601022
83,-0.19712384,-0.25563973,1.0291029,-0.2457093
84,1.6933627,-0.48477796,0.43457708,-0.49381974
85,1.2617041,-0.90465593,-0.13971734,-0.8973943
86,1.206074,0.42980418,0.20707013,0.4755119
87,-0.14403288,0.5541698,-1.6932592,0.4529598
88,-0.25885478,1.3711703,-1.5025687,1.2525209
89,-0.14804302,-0.5741372,0.99427813,-0.61741537
90,1.5522063,0.057821833,-0.0814613,0.07125172
91,-1.2668742,-0.25563973,1.0291556,-0.24571207
92,1.6729167,-0.26676425,-0.8463008,-0.2565096
93,-1.1692101,0.40295714,0.82012,0.48692045
94,-1.3004179,-0.25563973,1.0291332,-0.24572597
95,-0.6959729,-1.3360615,0.5512658,-1.4528649
96,1.3613968,-0.5934167,0.9769173,-0.64470345
97,-0.73256683,-0.25563973,1.0291584,-0.2457248
98,-1.2890316,-3.1337368,-1.0794548,-3.1392941
99,-0.22916171,-2.022178,-1.0966467,-1.9181542
100,-1.2498639,-0.25563973,1.0291394,-0.2457177
101,0.23874123,1.2073544,-0.65989894,1.1766071
102,-0.59751,2.4605293,-0.98101074,2.4084983
103,0.8378227,0.32643902,0.85013866,0.41710836
104,-0.17127836,1.481841,0.0056289313,1.604845
105,0.6575491,-0.8230261,0.8738034,-0.90774465
106,1.5543658,0.14681563,0.7662369,0.21201788
107,1.6920428,-0.16817802,0.20495401,-0.15949035
108,-1.2994065,-0.25563973,1.0291479,-0.24572869
109,1.5825416,0.004493139,-0.22343944,0.0136658875
110,1.6842782,-0.26438522,-0.7577997,-0.25450838
111,-1.2657121,-0.25563973,1.0291607,-0.24570873
112,-1.318148,-0.25563973,1.0291517,-0.24570905
113,-0.26616764,-2.6149852,-0.5165785,-2.6674833
114,-0.23091738,-2.2130268,-0.11638111,-2.3044705
115,1.5440081,0.039991982,-0.22300492,0.048953347
116,0.90567744,0.5273623,-0.46903875,0.50868475
117,1.6826781,-0.26476315,-0.7744677,-0.25501934
118,1.1993371,0.3712834,-0.10346645,0.38568804
119,-1.2486562,-0.25563973,1.0291525,-0.24571049
120,-1.2498821,-0.25563973,1.029142,-0.24572918
121,1.058667,0.3712834,-0.45607424,0.3545261
122,0.34789452,-1.8732758,-0.0043274085,-1.9497306
123,-1.3293505,-0.25563973,1.0291426,-0.24572106
124,-1.2503766,-0.25563973,1.0291376,-0.24571161
125,-0.21294071,0.5259649,-1.624325,0.42698705
126,1.7246755,-0.41765174,-0.30295804,-0.40583208
127,1.1399325,-0.8528875,-0.63654464,-0.80983734
128,0.1818114,1.1542895,0.2677712,1.2891504
129,0.79547834,0.49039975,-0.7711394,0.4473949
130,0.7438367,0.6688228,-0.5675647,0.63978493
131,1.7075183,-0.2266827,-0.57415885,-0.22134994
132,-0.42178175,0.8651769,0.47143662,1.0015416
133,-1.3242894,-0.25563973,1.0291414,-0.24571846
134,-1.3286655,-0.25563973,1.0291338,-0.24572594
135,-0.5044177,-0.51305366,0.9988231,-0.550594
136,0.49424687,1.2313759,0.21123515,1.3575054
137,-0.5228443,-1.9049305,-1.5822759,-1.7447274
138,0.653642,0.2875795,-1.2875996,0.2336579
139,-0.0015931008,1.5676879,-0.871406,1.5083582
140,0.73390424,-0.91996765,-1.2425255,-0.8440966
141,-0.11766114,1.2116961,0.2539953,1.3230643
142,1.050675,-0.88003826,-0.8367916,-0.8275351
143,0.6693768,0.8440146,-0.29146996,0.8505344
144,1.5007904,0.08883695,-0.06126489,0.102671415
145,-0.31323573,-1.2616868,0.58509946,-1.3751693
146,-1.3023747,-0.25563973,1.0291197,-0.24573416
147,-0.6809989,0.4741966,-1.9118056,0.3725147
148,0.21695238,-1.3137904,-1.2541041,-1.2108825
149,-0.7972395,1.6251297,-0.17799832,1.7232718
150,-0.11026029,1.2170017,0.25402734,1.3230727
151,1.1477562,0.22388549,-0.6149555,0.20020624
152,1.0952028,0.68474495,0.4159026,0.78488535
153,-1.3160474,-0.25563973,1.029163,-0.2456999
154,1.2334783,0.15746665,-0.78094286,0.12778036
155,0.2549681,-1.1668711,-1.297005,-1.0698967
156,0.91895974,-1.0633954,-0.63352454,-1.0159626
157,0.55491215,0.32952237,0.8501588,0.4171021
158,-0.71740866,-0.25716195,1.0291625,-0.24572536
159,-0.030598663,0.4793498,-1.4884727,0.4127934
160,-0.80047077,0.5891722,-2.0809414,0.4345717
161,1.3862494,-0.3511667,1.0074999,-0.3573302
162,1.7332805,-0.14575821,0.33006057,-0.12885348
163,1.5589507,-0.46432662,-0.37508404,-0.44535065
164,-0.63933384,0.822407,-1.9161844,0.67951304
165,1.752267,-0.22720873,0.05738871,-0.21647477
166,-0.61254406,0.86559016,-1.9622252,0.7178015
167,-0.24182229,0.7547762,-1.6293389,0.61985224
168,-0.40331167,2.5655143,-1.1748127,2.595421
169,-0.8042552,0.5063692,-1.9986994,0.40047264
170,0.5445903,0.32595608,0.85017926,0.4171028
171,-1.2969754,-0.25563973,1.0291349,-0.24572133
172,-0.28630525,0.5478125,0.71211064,0.67676675
173,-0.6919039,2.639808,-1.2493322,2.6698544
174,0.66107154,-0.9733,-1.0934261,-0.8994871
175,1.5137452,-0.5537486,-0.78480196,-0.5290816
176,1.6098253,-0.0686153,-0.47958773,-0.0644115
177,-1.3208647,-0.2556397,1.0291791,-0.24571063
178,-0.95133805,-2.235442,-0.13078994,-2.3259664
179,-1.284972,-0.25563973,1.0291312,-0.24572532
180,0.13590494,0.59539956,-1.2900027,0.5089662
181,-1.2992887,-0.25563973,1.0291303,-0.24571446
182,1.6282417,-0.5520488,-0.09948264,-0.54121685
183,-0.40329185,2.5655143,-1.1748307,2.595431
184,-1.0724323,3.0024536,-1.512047,2.914141
185,0.12135174,-0.041865535,0.9849646,0.01249581
186,0.055993214,1.1823798,-0.977047,1.1060721
187,-1.3004421,-0.25563973,1.029136,-0.24571559
188,1.1961609,-0.021777539,0.97934645,0.036146853
189,-1.1286156,-0.25023115,1.0291504,-0.24571463
190,-0.7370181,-0.25563973,1.0291872,-0.24572162
191,1.0190822,0.1543285,-1.0996766,0.11701641
192,-1.2520859,-0.25578666,1.0290209,-0.2458729
193,0.88070273,0.7996491,0.5112548,0.94527435
194,0.88003576,0.7991599,0.5113351,0.9452666
195,-0.7051016,0.38709682,0.82014436,0.48692942
196,0.69941944,0.35398218,-1.0583082,0.30762288
197,0.10876812,-0.46874595,1.0055572,-0.49816662
198,1.2917696,0.17852707,-0.7140682,0.15774412
199,-0.5881478,1.7778798,-1.8276068,1.5829825
200,-1.299231,-0.25563973,1.0291451,-0.24569756
201,-1.262105,-0.25563973,1.0291462,-0.24571891
202,0.28232595,-0.38098815,1.011326,-0.39332002
203,-1.2397484,-0.2556305,1.0289153,-0.24570946
204,1.1295071,-0.888683,-0.51413083,-0.8503317
205,-0.67416805,0.6872647,-1.9286013,0.5600562
206,0.3780987,1.2626024,-0.3520379,1.2813143
207,0.35584328,-1.8611025,-0.1852523,-1.9005398
208,1.7558377,-0.33651134,0.9070679,-0.3378078
209,1.5153676,0.18471053,0.37083238,0.22696884
210,-1.1853144,-0.11957155,1.0139459,-0.091441676
211,-0.21234947,1.0392542,-1.3821341,0.9253449
212,1.6085958,-0.102199376,-0.45714608,-0.097879045
213,1.7580452,-0.25563973,0.16878767,-0.24553451
214,0.28316766,-1.8573713,-0.3613273,-1.8273418
215,-0.1739607,-0.45273393,0.9865254,-0.47810748
216,-0.32059273,-2.1509585,-0.036744688,-2.252478
217,-1.3299133,-0.25563973,1.0291336,-0.24573863
218,-0.21286894,0.3712834,0.8201452,0.48691764
219,1.5720495,-0.32587036,1.0209167,-0.32819086
220,-1.3230653,-0.25563973,1.0291419,-0.24572046
221,0.46267685,0.8043517,-0.713826,0.7579378
222,-0.7250605,0.47000423,-1.8982702,0.36900806
223,0.38615206,0.9323459,0.43572897,1.07149
224,-1.2976104,-0.25563973,1.0291525,-0.24570328
225,0.3091595,0.3712834,0.82015574,0.48692396
226,1.3182089,0.27843064,-0.07934401,0.29337046
227,0.8716588,0.057821833,0.96147496,0.13100305
228,0.53741103,0.32418644,0.85010636,0.41710138
229,0.7051824,0.34194675,-0.99584347,0.31177974
230,1.5800173,-0.005152132,0.9855733,0.057374135
231,-0.7021808,0.057821833,0.9614288,0.13102189
232,0.862762,0.93540317,0.43451878,1.067363
233,-0.7908991,1.6251297,-0.17806473,1.7232659
234,0.6492461,1.0232832,0.38617504,1.1367681
235,1.2375201,-0.24835019,1.0179528,-0.23562697
236,-1.0803125,-0.24454157,0.9981171,-0.23080905
237,-0.14725363,-0.57421136,0.99430275,-0.61742216
238,1.4187611,-0.6181189,-0.7160819,-0.58615386
239,-0.84537643,-1.7472954,-1.9435459,-1.5639073
240,-0.66569644,0.72058326,-2.0827923,0.55131984
241,-1.1852876,-0.2528192,1.0291395,-0.24574223
242,-0.46401632,1.2517937,0.19188018,1.3841537
243,-1.3135812,1.186255,-2.555348,0.9732742
244,0.009226382,1.4867009,0.0381567,1.5612493
245,1.7306831,-0.41391826,-0.2994767,-0.40242276
246,1.7474933,-0.37258577,-0.063117236,-0.36368594
247,0.8728948,0.93912655,0.43852043,1.0683122
248,-0.10607421,1.2204467,0.253992,1.3230828
249,-0.42165953,-1.4909606,0.46505776,-1.6153042
250,1.0214882,0.03955852,-0.9740927,0.001920082
251,1.7304481,-0.25563973,-0.3411303,-0.2489482
252,0.5567908,0.33013856,0.85012776,0.41710925
253,-0.257818,-0.12074286,1.0139765,-0.0914454
254,0.033244412,0.21726915,0.9003232,0.31479466
255,0.6407454,1.019132,0.38621825,1.1367803
256,-1.2513183,-0.25563973,1.0291469,-0.24571034
257,1.7455063,-0.26589546,1.0292226,-0.24597746
258,0.28663376,1.5733306,-0.2629033,1.6361433
259,0.23833333,1.2591769,0.17142563,1.3867406
260,-1.2509141,-0.25563973,1.0291483,-0.24572456
261,0.48832896,0.4931046,-1.1389872,0.4198454
262,-1.2995933,-0.23774382,1.0291677,-0.24571148
263,1.3270776,0.3712834,0.82204026,0.48434594
264,-1.2680608,-0.25563973,1.0291402,-0.245719
265,-0.2901486,-2.0383413,0.051159985,-2.1457953
266,0.01481458,0.47697428,-1.4894989,0.41040346
267,1.1606815,-0.18363193,1.0079402,-0.15839536
268,-1.168732,0.4019852,0.82012236,0.48692292
269,-0.40974236,0.77343553,0.5358901,0.90445316
270,1.5864321,-0.51671875,-0.1465458,-0.50820655
271,1.6092645,-0.06824304,-0.46806136,-0.06397882
272,1.1744263,-0.9019014,-0.48289135,-0.86830467
273,1.5438693,0.08674815,0.5348455,0.12819886
274,-0.035115153,0.47922996,-1.4910848,0.41238305
275,-1.2597679,-0.25563973,1.0291272,-0.2457223
276,1.7581297,-0.25563973,0.16808243,-0.24556983
277,0.459026,1.3119533,-0.10905799,1.3405138
278,-1.0463896,2.1744516,-0.76145345,2.2188141
279,0.2861332,-1.3599107,-0.9492083,-1.2781105
280,-0.639205,-1.4121532,0.5084313,-1.532703
281,-0.6829053,-3.064258,-1.0086583,-3.0730162
282,0.71020204,0.34054962,-0.99087435,0.31188685
283,0.5525949,0.3285318,0.8501223,0.41710058
284,-1.2938362,-0.25563973,1.0291533,-0.24570674
285,-1.3307791,-0.25563973,1.0291314,-0.24572392
286,-0.69861823,0.46814072,-1.8938788,0.36806843
287,1.4734157,0.12230815,-0.006682457,0.13880327
288,0.6448089,1.0204935,0.38622254,1.1367663
289,1.5462074,0.057821833,-0.107145146,0.0704529
290,-0.7134349,-0.25650352,1.0291344,-0.24572216
291,0.5880139,-1.125942,-1.1145774,-1.0417925
292,-1.3003743,-0.25563973,1.0291617,-0.24570741
293,-0.69811374,0.057821833,0.9614474,0.1310087
294,-0.8296996,0.3779935,0.8154269,0.4940389
295,-0.73390895,-0.25563973,1.029184,-0.24570313
296,-0.08803941,0.4295701,-1.8370464,0.34407383
297,-0.35912865,-1.2840859,0.577625,-1.3993646
298,0.92670125,-1.2386559,0.5938305,-1.3502748
299,0.31174585,0.35800222,-1.4435157,0.2909753
300,-0.70976657,-0.2561119,1.0291345,-0.24571946
301,1.4073244,-0.60504335,0.97185993,-0.6585738
302,1.6764028,-0.50395584,0.20114268,-0.5022642
303,0.29701954,-1.8593925,-0.35744855,-1.8280009
304,-1.332274,-0.25563973,1.0291498,-0.24571107
305,-0.38037926,-2.4467304,-0.33506453,-2.5171833
306,1.3076748,0.17216012,-0.34511057,0.16752619
307,-0.25817236,1.0221157,0.3786699,1.1627378
308,0.85954195,0.9343293,0.43755898,1.0676837
309,0.14195536,0.9891836,-0.4549801,0.98833287
310,0.8709193,0.057821833,0.96148556,0.13100915
311,1.725359,-0.2650815,1.0291893,-0.24588957
312,-1.2946074,-0.25563973,1.0291502,-0.2457119
313,-0.3851248,-2.1630104,-0.05130004,-2.2626448
314,-1.2363939,0.16161442,0.92999256,0.24835323
315,0.007784025,1.486222,0.03813413,1.5612473
316,0.61369926,-1.235152,-0.68587255,-1.1788489
317,-1.2721127,-0.25563973,1.0291337,-0.24572788
318,0.81450063,-1.028864,-0.84633964,-0.9668138
319,-1.3161583,-0.25563973,1.0291417,-0.24571082
320,-0.61162287,0.89549077,-1.905496,0.7337597
321,0.05071878,-1.6810008,-1.0140637,-1.5885512
322,1.2557899,-0.7814719,-0.82620955,-0.73386186
323,-0.69945854,2.3375633,-0.8445454,2.291024
324,0.4099931,-0.119704016,1.0139965,-0.09143999
325,0.21116164,1.0854439,-0.7718579,1.0330487
326,0.71986884,-1.2756503,0.5806928,-1.3904147
327,-0.19834085,-0.25563973,1.0291692,-0.24573088
328,-1.2804013,-0.2556403,1.0291597,-0.24570772
329,1.5591073,-0.35888636,-0.7934175,-0.34712517
330,-1.2507973,-0.25587398,1.0290407,-0.24598123
331,0.41926473,0.39935467,-1.3010666,0.3233395
332,1.6841741,-0.26440403,-0.757027,-0.25437313
333,0.88196075,0.9428552,0.43780968,1.0687228
334,-0.16510764,-1.8619548,-1.0698234,-1.7610528
335,1.6625935,-0.039293405,0.13502808,-0.020586206
336,0.81910837,-0.91315836,-1.0206548,-0.84738797
337,0.7509508,0.72986996,-0.37710088,0.7220353
338,-0.4013597,2.5655143,-1.1748415,2.5954266
339,1.645639,-0.054924585,-0.117401406,-0.04288829
340,-0.7992365,1.6251297,-0.17814296,1.7232417
341,-0.4370765,-2.4878895,-1.1332207,-2.3827353
342,1.198687,0.38343593,-0.26176012,0.37812465
343,-1.2488426,-0.25563973,1.029157,-0.2457011
344,-0.73606735,-0.25563973,1.0291431,-0.24570867
345,0.74537003,0.3518017,-1.0763173,0.30503628
346,0.74229795,0.3439884,-1.0393646,0.30645317
347,-0.079815015,0.56087947,-1.664507,0.42579156
348,1.720929,-0.43785113,0.202911,-0.43423605
349,-1.2994609,-0.25563973,1.0291395,-0.24570033
350,-1.2504826,-0.25563973,1.029139,-0.24573451
351,-0.0047206,-1.423559,-1.3586096,-1.3069134
352,-1.3256905,-0.25563973,1.0291481,-0.24571875
353,-0.7004443,0.39171863,0.8201249,0.4869185
354,-0.05123197,0.5897446,0.7036487,0.68902075
355,0.79363626,0.53730345,-0.48969227,0.5035471
356,1.2147588,-0.7965501,-0.7428592,-0.7508952
357,-0.91282356,-1.9634422,-1.957076,-1.7624937
358,0.604093,-1.103507,-0.9900887,-1.0287797
359,-0.13411638,-2.1477206,-0.032969803,-2.2497501
360,0.33853993,1.1176063,0.2902903,1.2516997
361,1.3952392,0.07515138,-0.5999118,0.064391956
362,0.5765169,-1.4326236,-0.33562586,-1.4226263
363,0.40940237,-0.11986099,1.0139807,-0.0914375
364,-1.2942672,-0.25563973,1.029133,-0.24570225
365,1.0247295,-1.0153801,-0.31948793,-0.991166
366,0.017417233,0.7974738,-1.3216132,0.7000133
367,-1.2520145,-0.25563973,1.0291297,-0.24571697
368,-0.4077953,0.99902827,0.37885076,1.1333457
369,-0.3530169,1.7754132,-1.4259279,1.6314578
370,0.73296356,0.36995476,0.820568,0.485385
371,-0.12372936,-1.2190448,0.57721037,-1.3642867
372,-1.2605892,-0.25563973,1.0291553,-0.24571376
373,-0.7558403,1.8126166,-0.34987584,1.8979723
374,1.5933663,-0.0036730953,-0.35964322,0.00042271972
375,1.7515737,-0.28625786,-0.19848673,-0.2768644
376,-1.2870868,-0.25563973,1.0291374,-0.24573073
377,-0.562531,0.91103894,0.4554149,1.007329
378,1.7355663,-0.26534033,1.0292239,-0.24592187
379,0.7084743,0.35665613,-1.0778656,0.30602217
380,1.0357513,-0.8940743,-0.82894343,-0.8390962
381,-0.34615493,-2.1950865,-0.08081951,-2.2921765
382,-0.041149646,0.65626097,-1.5532328,0.53822863
383,0.3255979,0.3712834,0.8200947,0.4869165
384,0.41032404,-0.11930175,1.0139694,-0.09144916
385,-0.52716416,-3.0006137,-0.9337765,-3.0161142
386,1.0170816,0.26886785,-0.75373846,0.23315959
387,0.88206893,0.5847225,-0.56769377,0.5540587
388,0.9165421,0.4920442,-0.4825911,0.47103024
389,-0.96940535,1.2258275,-2.2062542,1.0219882
390,-0.14779522,-0.5741777,0.9942877,-0.61741775
391,0.8306273,0.34122065,-0.83611745,0.29435918
392,1.651754,-0.070624515,-0.12676665,-0.059465036
393,1.0058943,0.4855298,0.70663774,0.5973751
394,-0.35908127,0.42317575,-1.7915428,0.33415726
395,-1.2653556,-0.25563973,1.0291295,-0.24572656
396,-0.22346994,0.62277395,-1.5699357,0.5275586
397,-1.2917241,-0.25563973,1.029145,-0.24573132
398,0.28129002,-0.24864802,1.0203867,-0.23622996
399,1.7084405,-0.13203642,-0.06864307,-0.12031865
400,0.87313896,0.42012125,-0.8065763,0.38421127
