idx,ambient,coolant,u_d,u_q,torque,i_d,i_q
1,0.047103602,-0.555098,0.4442563,1.7047329,-0.34220606,0.9947208,-0.3497908
2,0.6716263,0.35066977,0.31909162,-1.3278744,-0.25563973,1.0291426,-0.24572322
3,-0.5522051,1.9890434,-0.08432332,-0.77599895,1.311668,0.14759797,1.4429615
4,0.6837887,-0.10660908,0.1813502,1.7174115,-0.24990642,-0.36269844,-0.24259351
5,-0.007995944,0.3796678,2.1725037,-0.2978523,-2.1496685,-1.1808901,-2.0303578
6,0.63707143,1.9189537,-0.7479464,-0.024507811,1.2844838,0.15834926,1.4141186
7,0.6639949,0.18433,0.5994569,-1.0740628,-1.9825226,0.08838202,-2.0910292
8,1.026741,1.0093403,-1.4219131,0.08780151,0.4759891,-1.4944829,0.4078535
9,0.68644863,1.116453,-0.7226937,1.1554974,0.08737562,-0.9338304,0.054165144
10,0.42867202,1.7027981,0.30036947,-1.2979931,-0.25563973,1.0291377,-0.24571414
11,0.2837996,-0.42369524,-0.43886417,1.510687,0.073977545,-0.33055404,0.07815496
12,0.69180363,1.2246056,-1.0805305,0.823997,0.31022403,-0.9272879,0.25852406
13,0.6856738,-1.209475,1.1225262,0.7937869,-0.9398079,0.8135002,-1.0359861
14,-1.6527456,-1.0669463,-1.3044865,0.4581313,1.1337963,-0.4872721,1.1112734
15,0.7222783,0.60788935,1.4609483,1.1689605,-0.97327256,-0.08949227,-0.97424257
16,0.68773144,1.261506,0.324762,1.6838067,-0.3066893,-0.16993272,-0.2968738
17,-0.17859234,-0.0441421,0.29936838,-1.293298,-0.25563973,1.0291374,-0.24573731
18,-0.5735748,-1.0590934,-0.6022041,-0.14407136,1.1443145,0.27429867,1.2848253
19,0.3704117,-0.36052164,0.7037512,0.29500997,-0.6978595,0.9222077,-0.76435333
20,0.4976363,1.7475554,0.18609847,1.569873,-0.18940276,1.0056527,-0.16480829
21,0.110929705,-0.612318,-1.1183887,0.7108077,0.41243002,-1.1040355,0.34621742
22,0.9025859,1.0104909,-1.4874218,-0.0409287,0.9723981,-1.2282238,0.8971251
23,-0.41703987,1.9455177,-1.5053318,-0.16658328,1.8035713,-1.0736994,1.7196451
24,-0.9747484,0.090237215,-0.9315054,1.043806,0.3614113,-0.6306577,0.3307597
25,-1.006804,-1.0913103,0.5163704,-0.1540584,-0.57405525,0.99428177,-0.6174071
26,-0.09149042,-0.17092249,0.72568905,-0.7427696,-1.545181,0.42271328,-1.6684697
27,-0.004697639,0.33244142,-1.3314178,0.25005147,1.6208324,-0.16841741,1.7166469
28,0.264074,-0.13128152,-1.2977103,0.36335403,0.8530589,-0.89687765,0.7872518
29,0.72275305,-0.13815245,-0.5555665,1.0089934,0.4207437,0.7905958,0.54043597
30,0.6886087,0.39448053,0.34087768,-1.3149108,-0.25563973,1.0291345,-0.24572106
31,0.6816076,-0.5283787,0.82401145,1.6131557,-0.520292,-0.62624204,-0.49757895
32,-0.5082421,0.9753174,-1.5381657,-0.3644495,0.70567775,-1.8024962,0.53593075
33,-0.23457117,0.3256637,-0.62539625,0.7158987,0.60425746,0.6657779,0.73548156
34,1.5385333,0.52060115,2.1810758,-0.35008615,-2.0900104,-1.1804942,-1.9724045
35,-0.15894806,-1.0722772,-1.2292731,0.51204884,0.28606457,-1.369184,0.23412962
36,0.6872968,-0.52830887,-0.5901851,1.2887158,0.35708636,0.7765293,0.46254057
37,-0.21263835,-1.0790131,0.29004553,0.8956522,-0.26110467,1.0291772,-0.245707
38,-1.9049203,-1.070372,0.28324026,-1.1692077,0.40288135,0.8201236,0.4869198
39,0.24277052,0.09640238,0.81331533,0.12778981,-0.8795829,0.84433043,-0.9696177
40,-0.59653246,-0.64072955,0.31503367,-1.2505407,-0.25563973,1.0291487,-0.24571614
41,-0.13442056,0.32702154,-0.46184468,1.5133644,0.15252443,0.28421465,0.1868977
42,0.68861675,-0.606361,1.7205474,0.724602,-0.96727514,-1.1041307,-0.8927988
43,-0.82543534,-1.0608271,-1.1267083,0.7450801,0.3499834,-1.0799043,0.30455378
44,-0.3498984,0.76377654,-1.3882554,0.121442884,1.0477319,-0.9603878,0.9726926
45,0.68862474,-0.6078351,1.8235776,0.63692087,-1.2796249,-0.5899001,-1.2359453
46,-0.25308323,0.98740387,2.077506,0.016510993,-1.7675643,-0.8411437,-1.6983513
47,1.1069342,2.1889248,0.32190418,-1.3277125,-0.255584,1.0291163,-0.24565864
48,-0.09477466,-0.5829282,0.31774205,1.6174637,-0.30031872,-0.50497806,-0.28796223
49,-0.53933406,1.4655864,2.0182977,0.18134962,-2.1394541,-0.10749623,-2.2241645
50,-0.5370084,-0.6412194,0.31443152,-1.2494832,-0.25563973,1.0291301,-0.24571879
51,-0.15406083,2.172637,0.31111237,-0.7326132,-0.25563973,1.029138,-0.24571222
52,-0.038589068,-0.54869753,-0.7153817,0.7406973,0.68474495,0.6154699,0.8209655
53,0.61825424,0.33256507,2.1311345,-0.11914612,-2.3309186,-0.54209596,-2.3366091
54,0.63670003,0.17474493,0.31356397,-1.3270911,-0.25554267,1.02911,-0.24560396
55,-0.6314738,-1.046919,-1.1285782,0.73878586,0.35378334,-1.080788,0.304538
56,1.3831807,1.7475554,-1.603222,-0.74069315,1.5462998,-1.9399202,1.3478204
57,0.6930673,-0.736962,1.7500099,0.78922385,-1.0744646,-0.85127366,-1.010766
58,0.32481357,-1.0578512,-1.6031321,-0.7127972,0.46915916,-1.8963984,0.3685979
59,-2.8627725,-1.0385066,0.3021003,-1.1848449,-0.11817244,1.0139837,-0.09144154
60,-0.09999012,-0.16555664,1.1736785,-0.55568945,-2.1476028,-0.03578513,-2.2489114
61,0.6886087,-0.7272628,-0.47077727,1.5034838,0.086524785,-0.24197105,0.094579235
62,-0.12759008,1.9398507,0.29894885,-1.2927213,-0.25563973,1.0291357,-0.24569902
63,0.2835336,0.7206575,-0.31251943,1.1659238,0.18698813,0.9110187,0.27958602
64,0.6886147,-0.58259785,1.8917813,-0.4118878,-2.679315,-0.5688631,-2.7265184
65,1.4900203,0.55451286,-1.1307955,0.5982105,0.6089589,-0.7779567,0.5549157
66,-2.218979,-1.0463912,-1.6456171,-1.0622907,1.8936982,-2.5046256,1.600986
67,-2.7498572,-1.0688865,0.22485176,-0.2513316,-0.12030715,1.0139836,-0.09143945
68,0.30239797,-0.001730396,0.33743817,-1.2514154,-0.25563973,1.0291476,-0.24572416
69,0.37238103,0.13373417,0.3020543,-1.2963495,-0.25563973,1.0291541,-0.2457374
70,-2.7498572,-1.0218029,-1.6049559,-0.63975376,0.983904,-1.9530226,0.82559586
71,0.27569938,0.32767957,-1.1404432,0.73639166,0.34309784,-1.024896,0.3091197
72,1.3227413,-1.1389881,-1.4975256,-0.093730554,1.0013586,-1.3186734,0.88900375
73,-1.8565478,-1.0698603,-0.345832,0.83793306,0.32644403,0.8501571,0.41710395
74,0.46116924,2.1686,-0.20957978,1.6399752,-0.06452077,-0.19437718,-0.05537562
75,-0.9438561,-1.0691476,0.33988655,-1.2601042,-0.2205472,1.0291501,-0.24570398
76,0.6886318,1.2224717,-0.86681527,1.1219126,0.2089332,-0.7138351,0.17896251
77,-0.63251066,-1.0742748,0.29174784,0.9170553,-0.26048765,1.0291846,-0.24572772
78,-0.13575153,0.3301182,2.0410671,0.15871547,-1.7151873,-0.733561,-1.6587161
79,-0.097020045,-0.1659893,1.1970171,-0.50108504,-2.0923638,0.008493064,-2.1969113
80,-0.6919062,-1.0798792,0.1799107,1.682907,-0.26427892,-0.7691308,-0.2550195
81,0.6886087,2.1905377,1.6154964,0.87346727,-1.037279,-0.6546936,-0.98723185
82,0.20060724,-1.0492202,-1.6087391,-0.6741555,0.6866539,-1.927734,0.5601022
83,0.10018462,1.9480299,0.29678062,-0.19712384,-0.25563973,1.0291029,-0.2457093
84,0.046093836,-0.8059444,0.6712835,1.6933627,-0.48477796,0.43457708,-0.49381974
85,0.44186422,-0.60253507,1.3748845,1.2617041,-0.90465593,-0.13971734,-0.8973943
86,0.67772007,1.7475554,-0.8159198,1.206074,0.42980418,0.20707013,0.4755119
87,-1.3257879,-1.0445089,-1.4909561,-0.14403288,0.5541698,-1.6932592,0.4529598
88,-1.0025411,-1.065041,-1.5182817,-0.25885478,1.3711703,-1.5025687,1.2525209
89,-1.1537391,-1.0670562,0.5144169,-0.14804302,-0.5741372,0.99427813,-0.61741537
90,-0.073921874,1.255958,-0.3984287,1.5522063,0.057821833,-0.0814613,0.07125172
91,0.68854445,0.17534006,0.35017893,-1.2668742,-0.25563973,1.0291556,-0.24571207
92,-0.7905131,-1.0723919,0.18626781,1.6729167,-0.26676425,-0.8463008,-0.2565096
93,-1.9065875,-1.0735073,0.2830704,-1.1692101,0.40295714,0.82012,0.48692045
94,0.6328547,-1.211159,0.35310856,-1.3004179,-0.25563973,1.0291332,-0.24572597
95,0.4583126,1.1801866,0.6927386,-0.6959729,-1.3360615,0.5512658,-1.4528649
96,0.6332813,-0.363854,0.8092384,1.3613968,-0.5934167,0.9769173,-0.64470345
97,-0.15325081,2.176567,0.3108698,-0.73256683,-0.25563973,1.0291584,-0.2457248
98,-0.089254074,-0.16307628,0.5887249,-1.2890316,-3.1337368,-1.0794548,-3.1392941
99,0.6886087,-0.5495097,2.1493654,-0.22916171,-2.022178,-1.0966467,-1.9181542
100,-0.5532821,-0.638004,0.315625,-1.2498639,-0.25563973,1.0291394,-0.2457177
101,0.008539742,0.070098996,-1.3449842,0.23874123,1.2073544,-0.65989894,1.1766071
102,-1.4433604,-1.0691167,-0.75237906,-0.59751,2.4605293,-0.98101074,2.4084983
103,-2.4701078,-1.0672102,-0.34582812,0.8378227,0.32643902,0.85013866,0.41710836
104,0.46712247,0.31674403,-0.7266517,-0.17127836,1.481841,0.0056289313,1.604845
105,0.6886087,1.7475164,0.9473375,0.6575491,-0.8230261,0.8738034,-0.90774465
106,-0.09232553,0.27889323,-0.3386697,1.5543658,0.14681563,0.7662369,0.21201788
107,0.688419,0.5225791,0.065121084,1.6920428,-0.16817802,0.20495401,-0.15949035
108,0.5599467,-0.6960501,0.34703222,-1.2994065,-0.25563973,1.0291479,-0.24572869
109,0.6886087,0.32803342,-0.3405905,1.5825416,0.004493139,-0.22343944,0.0136658875
110,-0.5011978,-1.0466014,0.18101175,1.6842782,-0.26438522,-0.7577997,-0.25450838
111,-0.76904297,-0.12821408,0.30054387,-1.2657121,-0.25563973,1.0291607,-0.24570873
112,0.6883377,0.38532147,0.3386716,-1.318148,-0.25563973,1.0291517,-0.24570905
113,1.4386698,0.8396379,2.0905447,-0.26616764,-2.6149852,-0.5165785,-2.6674833
114,1.2050602,0.6093375,1.6612393,-0.23091738,-2.2130268,-0.11638111,-2.3044705
115,0.6886067,0.33069658,-0.4039354,1.5440081,0.039991982,-0.22300492,0.048953347
116,0.831578,-0.6993086,-1.0490437,0.90567744,0.5273623,-0.46903875,0.50868475
117,-0.85840034,-1.09344,0.18140404,1.6826781,-0.26476315,-0.7744677,-0.25501934
118,-0.54132247,1.9534489,-0.8233851,1.1993371,0.3712834,-0.10346645,0.38568804
119,-0.5979015,-0.6386372,0.3145638,-1.2486562,-0.25563973,1.0291525,-0.24571049
120,0.28012288,-0.010296909,0.33703983,-1.2498821,-0.25563973,1.029142,-0.24572918
121,-0.1403035,1.9540864,-0.9351158,1.058667,0.3712834,-0.45607424,0.3545261
122,0.6886087,-0.123566315,1.9823614,0.34789452,-1.8732758,-0.0043274085,-1.9497306
123,0.85513794,1.2520555,0.32079,-1.3293505,-0.25563973,1.0291426,-0.24572106
124,1.1871866,0.31707957,0.3209482,-1.2503766,-0.25563973,1.0291376,-0.24571161
125,0.6886117,1.2301348,-1.503886,-0.21294071,0.5259649,-1.624325,0.42698705
126,0.33329824,0.3478168,0.5807288,1.7246755,-0.41765174,-0.30295804,-0.40583208
127,0.26716855,0.113567896,1.4353126,1.1399325,-0.8528875,-0.63654464,-0.80983734
128,-0.09282439,0.2791383,-0.8032865,0.1818114,1.1542895,0.2677712,1.2891504
129,-1.0260679,-1.072782,-1.1127559,0.79547834,0.49039975,-0.7711394,0.4473949
130,0.4275067,-0.66512895,-1.1469618,0.7438367,0.6688228,-0.5675647,0.63978493
131,0.12538563,-1.0665628,0.12348457,1.7075183,-0.2266827,-0.57415885,-0.22134994
132,-0.8133071,0.8389598,-0.20166403,-0.42178175,0.8651769,0.47143662,1.0015416
133,0.21983397,2.1751478,0.31372395,-1.3242894,-0.25563973,1.0291414,-0.24571846
134,0.66718274,0.913078,0.3189921,-1.3286655,-0.25563973,1.0291338,-0.24572594
135,1.4616003,0.55722356,0.42446116,-0.5044177,-0.51305366,0.9988231,-0.550594
136,0.6886087,-0.7828019,-1.1108731,0.49424687,1.2313759,0.21123515,1.3575054
137,-0.09487604,0.8389598,2.1961577,-0.5228443,-1.9049305,-1.5822759,-1.7447274
138,-0.16357532,-1.059839,-1.1546746,0.653642,0.2875795,-1.2875996,0.2336579
139,0.3503709,1.6331441,-1.4649973,-0.0015931008,1.5676879,-0.871406,1.5083582
140,-0.097557046,-0.63424623,1.6871965,0.73390424,-0.91996765,-1.2425255,-0.8440966
141,-0.5633266,-1.073225,-0.6055543,-0.11766114,1.2116961,0.2539953,1.3230643
142,-1.407027,-1.0729896,1.5669291,1.050675,-0.88003826,-0.8367916,-0.8275351
143,0.88966775,0.6072014,-1.1951545,0.6693768,0.8440146,-0.29146996,0.8505344
144,0.5339227,1.7475554,-0.45972526,1.5007904,0.08883695,-0.06126489,0.102671415
145,0.6289642,-0.45623818,0.8559338,-0.31323573,-1.2616868,0.58509946,-1.3751693
146,-0.25941786,-0.720573,0.34453213,-1.3023747,-0.25563973,1.0291197,-0.24573416
147,0.3130467,-1.040264,-1.6002964,-0.6809989,0.4741966,-1.9118056,0.3725147
148,-0.9978696,-0.29940155,2.0067818,0.21695238,-1.3137904,-1.2541041,-1.2108825
149,-0.9915641,-0.6401835,-0.14154807,-0.7972395,1.6251297,-0.17799832,1.7232718
150,-0.6240732,-1.0584848,-0.6008269,-0.11026029,1.2170017,0.25402734,1.3230727
151,0.6888576,1.2372694,-0.85496485,1.1477562,0.22388549,-0.6149555,0.20020624
152,-0.89209706,-0.57532513,-0.91373616,1.0952028,0.68474495,0.4159026,0.78488535
153,0.5122488,1.7475554,0.34146133,-1.3160474,-0.25563973,1.029163,-0.2456999
154,-0.030728746,0.34090087,-0.75375956,1.2334783,0.15746665,-0.78094286,0.12778036
155,0.6962462,-0.30018616,1.9996971,0.2549681,-1.1668711,-1.297005,-1.0698967
156,0.43347093,-0.6124041,1.6516176,0.91895974,-1.0633954,-0.63352454,-1.0159626
157,-1.3501438,-1.0605913,-0.263151,0.55491215,0.32952237,0.8501588,0.4171021
158,0.28942055,-1.0871581,0.31371942,-0.71740866,-0.25716195,1.0291625,-0.24572536
159,2.4858463,1.0100408,-1.469264,-0.030598663,0.4793498,-1.4884727,0.4127934
160,1.0439072,0.20793207,-1.6187277,-0.80047077,0.5891722,-2.0809414,0.4345717
161,0.6839353,-1.2111281,0.42851567,1.3862494,-0.3511667,1.0074999,-0.3573302
162,2.0108664,0.15588161,0.03609875,1.7332805,-0.14575821,0.33006057,-0.12885348
163,-0.94051766,0.8389598,0.65558666,1.5589507,-0.46432662,-0.37508404,-0.44535065
164,-1.5626897,-1.049484,-1.6055526,-0.63933384,0.822407,-1.9161844,0.67951304
165,0.6886358,0.3353435,0.17611693,1.752267,-0.22720873,0.05738871,-0.21647477
166,-2.7498572,-1.0216017,-1.6007831,-0.61254406,0.86559016,-1.9622252,0.7178015
167,1.3670747,0.328771,-1.5024731,-0.24182229,0.7547762,-1.6293389,0.61985224
168,-0.9969943,-0.35718212,-1.3379154,-0.40331167,2.5655143,-1.1748127,2.595421
169,0.48358187,-1.0376493,-1.6210911,-0.8042552,0.5063692,-1.9986994,0.40047264
170,-1.04357,-1.0670997,-0.26812378,0.5445903,0.32595608,0.85017926,0.4171028
171,0.5697242,-0.6665856,0.34647855,-1.2969754,-0.25563973,1.0291349,-0.24572133
172,0.6886087,-0.8264101,-0.12166103,-0.28630525,0.5478125,0.71211064,0.67676675
173,0.6885475,-0.8269505,-0.77050143,-0.6919039,2.639808,-1.2493322,2.6698544
174,0.6861937,2.1801527,1.8048984,0.66107154,-0.9733,-1.0934261,-0.8994871
175,0.6813366,-1.0848066,0.91746336,1.5137452,-0.5537486,-0.78480196,-0.5290816
176,1.3100791,1.012783,-0.28877032,1.6098253,-0.0686153,-0.47958773,-0.0644115
177,0.116485424,2.1503427,0.3071067,-1.3208647,-0.2556397,1.0291791,-0.24571063
178,0.70283777,-0.13129742,0.81097716,-0.95133805,-2.235442,-0.13078994,-2.3259664
179,0.6584703,-0.92108786,0.35959393,-1.284972,-0.25563973,1.0291312,-0.24572532
180,0.6349656,1.408074,-1.3074253,0.13590494,0.59539956,-1.2900027,0.5089662
181,0.06177634,2.1476467,0.355818,-1.2992887,-0.25563973,1.0291303,-0.24571446
182,0.041689403,2.1047392,0.8508502,1.6282417,-0.5520488,-0.09948264,-0.54121685
183,-0.9074955,-0.36096302,-1.3364229,-0.40329185,2.5655143,-1.1748307,2.595431
184,-2.967949,-1.0937942,0.17811134,-1.0724323,3.0024536,-1.512047,2.914141
185,0.6886087,-0.1750851,0.13494901,0.12135174,-0.041865535,0.9849646,0.01249581
186,0.8234577,1.0238308,-1.4308747,0.055993214,1.1823798,-0.977047,1.1060721
187,0.1197747,2.1482208,0.35563347,-1.3004421,-0.25563973,1.029136,-0.24571559
188,0.681443,0.596031,-0.042035654,1.1961609,-0.021777539,0.97934645,0.036146853
189,1.3608254,0.98615855,0.33083388,-1.1286156,-0.25023115,1.0291504,-0.24571463
190,-0.11548392,1.9492722,0.307165,-0.7370181,-0.25563973,1.0291872,-0.24572162
191,-0.99691105,-1.0409256,-0.9070817,1.0190822,0.1543285,-1.0996766,0.11701641
192,0.5880817,0.17855047,0.3466812,-1.2520859,-0.25578666,1.0290209,-0.2458729
193,0.6042179,1.0071698,-0.9418086,0.88070273,0.7996491,0.5112548,0.94527435
194,0.34790874,1.0074195,-0.9415724,0.88003576,0.7991599,0.5113351,0.9452666
195,0.4892219,-1.0896136,0.11740909,-0.7051016,0.38709682,0.82014436,0.48692942
196,1.7364777,-1.0527095,-1.1612978,0.69941944,0.35398218,-1.0583082,0.30762288
197,0.6891266,1.6611186,0.48265108,0.10876812,-0.46874595,1.0055572,-0.49816662
198,-0.5830391,-1.0782365,-0.71315956,1.2917696,0.17852707,-0.7140682,0.15774412
199,0.6886087,-0.5488106,-1.5811499,-0.5881478,1.7778798,-1.8276068,1.5829825
200,0.57705957,-0.69265807,0.34846592,-1.299231,-0.25563973,1.0291451,-0.24569756
201,0.6886087,-0.64290977,0.3056054,-1.262105,-0.25563973,1.0291462,-0.24571891
202,0.12618862,0.5686036,0.41565913,0.28232595,-0.38098815,1.011326,-0.39332002
203,1.5511825,0.5661699,0.34637442,-1.2397484,-0.2556305,1.0289153,-0.24570946
204,1.3316194,-0.1468515,1.4207594,1.1295071,-0.888683,-0.51413083,-0.8503317
205,-0.37111855,-1.0368593,-1.6095725,-0.67416805,0.6872647,-1.9286013,0.5600562
206,0.7099192,-0.06442192,-1.3209485,0.3780987,1.2626024,-0.3520379,1.2813143
207,-0.7680894,-0.37470454,1.9693283,0.35584328,-1.8611025,-0.1852523,-1.9005398
208,0.6886037,1.747553,0.42363173,1.7558377,-0.33651134,0.9070679,-0.3378078
209,-1.0131817,-1.0419672,-0.46380058,1.5153676,0.18471053,0.37083238,0.22696884
210,-3.0538473,-1.0663904,0.30221835,-1.1853144,-0.11957155,1.0139459,-0.091441676
211,2.1876428,2.1813233,-1.5277675,-0.21234947,1.0392542,-1.3821341,0.9253449
212,0.3681914,-0.90643746,-0.15769093,1.6085958,-0.102199376,-0.45714608,-0.097879045
213,0.36714852,2.1762319,0.2399341,1.7580452,-0.25563973,0.16878767,-0.24553451
214,0.2673231,-1.0865109,2.006218,0.28316766,-1.8573713,-0.3613273,-1.8273418
215,1.3878582,0.322082,0.42728055,-0.1739607,-0.45273393,0.9865254,-0.47810748
216,0.69443345,1.9526181,1.5056896,-0.32059273,-2.1509585,-0.036744688,-2.252478
217,0.6886147,1.2429911,0.32123235,-1.3299133,-0.25563973,1.0291336,-0.24573863
218,-0.5125351,2.02337,-0.057982862,-0.21286894,0.3712834,0.8201452,0.48691764
219,2.112084,-0.051163174,0.41011795,1.5720495,-0.32587036,1.0209167,-0.32819086
220,0.38841987,0.91225463,0.33883417,-1.3230653,-0.25563973,1.0291419,-0.24572046
221,0.8478397,1.2471094,-1.2982794,0.46267685,0.8043517,-0.713826,0.7579378
222,0.45679292,-1.053069,-1.6059017,-0.7250605,0.47000423,-1.8982702,0.36900806
223,2.0304322,2.1747978,-0.80638456,0.38615206,0.9323459,0.43572897,1.07149
224,-0.14428435,0.38925475,0.3492773,-1.2976104,-0.25563973,1.0291525,-0.24570328
225,0.19208845,0.32790652,-0.24559425,0.3091595,0.3712834,0.82015574,0.48692396
226,-0.13561602,0.8389598,-0.69468224,1.3182089,0.27843064,-0.07934401,0.29337046
227,0.40385345,0.33296642,-0.09515532,0.8716588,0.057821833,0.96147496,0.13100305
228,-1.8874621,-1.0658616,-0.2724512,0.53741103,0.32418644,0.85010636,0.41710138
229,0.65144,1.0059413,-1.1666609,0.7051824,0.34194675,-0.99584347,0.31177974
230,-1.8006824,-1.0559845,-0.11887383,1.5800173,-0.005152132,0.9855733,0.057374135
231,-0.8822483,1.007438,0.20740479,-0.7021808,0.057821833,0.9614288,0.13102189
232,-0.8307301,-1.0513431,-1.0848124,0.862762,0.93540317,0.43451878,1.067363
233,0.2563783,1.2454387,-0.13249812,-0.7908991,1.6251297,-0.17806473,1.7232659
234,-0.60326254,-1.0584884,-0.95783055,0.6492461,1.0232832,0.38617504,1.1367681
235,-0.122205,-0.6968595,0.2842674,1.2375201,-0.24835019,1.0179528,-0.23562697
236,-0.9451419,1.5029584,0.29894397,-1.0803125,-0.24454157,0.9981171,-0.23080905
237,-1.3318946,-1.0728275,0.5139995,-0.14725363,-0.57421136,0.99430275,-0.61742216
238,0.42175522,0.9797398,1.0483806,1.4187611,-0.6181189,-0.7160819,-0.58615386
239,1.563945,0.6096737,2.248535,-0.84537643,-1.7472954,-1.9435459,-1.5639073
240,0.120929,1.7408893,-1.5962256,-0.66569644,0.72058326,-2.0827923,0.55131984
241,0.6348793,-1.1012465,0.3318439,-1.1852876,-0.2528192,1.0291395,-0.24574223
242,0.3585414,1.7475554,-0.32368648,-0.46401632,1.2517937,0.19188018,1.3841537
243,0.6885796,-1.0316232,-1.65049,-1.3135812,1.186255,-2.555348,0.9732742
244,-1.9536731,-1.0750319,-0.8468814,0.009226382,1.4867009,0.0381567,1.5612493
245,1.9802731,-0.04494842,0.5731677,1.7306831,-0.41391826,-0.2994767,-0.40242276
246,0.69387436,2.177354,0.4806311,1.7474933,-0.37258577,-0.063117236,-0.36368594
247,0.02344334,-1.0565238,-1.078535,0.8728948,0.93912655,0.43852043,1.0683122
248,-1.1408149,-1.0825676,-0.59803116,-0.10607421,1.2204467,0.253992,1.3230828
249,1.5411019,0.31846407,0.9527149,-0.42165953,-1.4909606,0.46505776,-1.6153042
250,0.6883337,1.4502811,-0.55832,1.0214882,0.03955852,-0.9740927,0.001920082
251,-0.28147414,2.1758947,0.20235981,1.7304481,-0.25563973,-0.3411303,-0.2489482
252,-1.6369898,-1.0751753,-0.26247343,0.5567908,0.33013856,0.85012776,0.41710925
253,-2.7498572,-1.0495514,0.22390178,-0.257818,-0.12074286,1.0139765,-0.0914454
254,0.78172106,1.6609678,-0.05023471,0.033244412,0.21726915,0.9003232,0.31479466
255,-0.13137521,-1.1001045,-0.96430695,0.6407454,1.019132,0.38621825,1.1367803
256,-1.007917,-0.6601716,0.3186845,-1.2513183,-0.25563973,1.0291469,-0.24571034
257,-0.8796787,-1.0850657,0.2978006,1.7455063,-0.26589546,1.0292226,-0.24597746
258,1.4815146,-0.06790766,-1.3734372,0.28663376,1.5733306,-0.2629033,1.6361433
259,0.6724966,1.25394,-0.94205004,0.23833333,1.2591769,0.17142563,1.3867406
260,-0.51855254,-0.6409024,0.31551713,-1.2509141,-0.25563973,1.0291483,-0.24572456
261,0.6867357,-0.63401526,-1.2671628,0.48832896,0.4931046,-1.1389872,0.4198454
262,-0.12104065,-1.0787975,0.3210744,-1.2995933,-0.23774382,1.0291677,-0.24571148
263,0.23778392,0.3270667,-0.60622966,1.3270776,0.3712834,0.82204026,0.48434594
264,-0.99249357,0.0707567,0.35153916,-1.2680608,-0.25563973,1.0291402,-0.245719
265,0.9451336,0.31211987,1.42864,-0.2901486,-2.0383413,0.051159985,-2.1457953
266,2.0927517,1.0092654,-1.449478,0.01481458,0.47697428,-1.4894989,0.41040346
267,0.40470964,1.0651593,0.18544197,1.1606815,-0.18363193,1.0079402,-0.15839536
