id,y,x0,x1,x2,x3,x4,x5
0,6,18,4,4,2,2,0
1,6,17,1,1,1,2,0
2,10,15,1,1,1,2,3
3,15,15,4,2,1,3,0
4,10,16,3,3,1,2,0
5,15,16,4,3,1,2,0
6,11,16,2,2,1,2,0
7,6,17,4,4,2,2,0
8,19,15,3,2,1,2,0
9,15,15,3,4,1,2,0
10,9,15,4,4,1,2,0
11,12,15,2,1,3,3,0
12,14,15,4,4,1,1,0
13,11,15,4,3,2,2,0
14,16,15,2,2,1,3,0
15,14,16,4,4,1,1,0
16,14,16,4,4,1,3,0
17,10,16,3,3,3,2,0
18,5,17,3,2,1,1,3
19,10,16,4,3,1,1,0
20,15,15,4,3,1,2,0
21,15,15,4,4,1,1,0
22,16,16,4,2,1,2,0
23,12,16,2,2,2,2,0
24,8,15,2,4,1,3,0
25,8,16,2,2,1,1,2
26,11,15,2,2,1,1,0
27,15,15,4,2,1,1,0
28,11,16,3,4,1,2,0
29,11,16,4,4,1,2,0
30,12,15,4,4,1,2,0
31,17,15,4,4,2,2,0
32,16,15,4,3,1,2,0
33,12,15,3,3,1,2,0
34,15,16,3,2,1,1,0
35,6,15,2,3,2,1,0
36,18,15,4,3,1,3,0
37,15,16,4,4,2,3,0
38,11,15,3,4,1,3,0
39,13,15,2,2,1,1,0
40,11,16,2,2,2,2,1
41,12,15,4,4,1,1,0
42,18,15,4,4,1,2,0
43,11,15,2,2,1,1,0
44,9,16,2,2,2,2,1
45,6,15,4,3,1,2,0
46,11,16,3,3,1,2,0
47,20,16,4,3,1,4,0
48,14,15,4,2,1,2,0
49,7,15,4,4,1,2,1
50,13,16,2,2,3,2,0
51,13,15,4,2,1,2,0
52,10,15,4,2,2,1,1
53,11,15,4,4,1,1,0
54,13,15,3,3,1,1,0
55,10,16,2,1,1,2,0
56,15,15,4,3,1,2,0
57,15,15,4,4,1,2,0
58,9,15,1,2,1,2,0
59,16,16,4,2,1,2,0
60,11,16,4,4,1,2,0
61,11,16,1,1,4,1,0
62,9,16,1,2,1,2,0
63,9,16,4,3,1,3,0
64,10,15,4,3,1,2,0
65,15,16,4,3,3,2,0
66,12,15,4,4,1,4,0
67,6,16,3,1,1,4,0
68,8,15,2,2,2,2,0
69,16,15,3,1,2,4,0
70,15,16,3,1,2,4,0
71,10,15,4,2,1,4,0
72,5,15,1,1,1,2,2
73,14,16,3,1,1,1,0
74,11,16,3,3,1,2,0
75,10,15,4,3,1,2,0
76,10,15,4,0,2,4,0
77,11,16,2,2,1,4,0
78,10,17,2,1,2,1,3
79,5,16,3,4,1,2,0
80,12,15,2,3,1,1,0
81,11,15,2,3,1,3,0
82,6,15,3,2,1,2,0
83,15,15,2,2,2,2,0
84,10,15,1,1,1,2,0
85,8,15,4,4,2,2,2
86,6,16,2,2,1,2,0
87,14,15,4,2,1,3,0
88,10,16,2,2,2,2,1
89,7,16,4,4,1,2,0
90,8,16,3,3,1,3,0
91,18,15,4,3,1,1,0
92,6,16,3,1,1,2,0
93,10,16,4,2,2,2,0
94,14,15,2,2,1,4,0
95,10,15,1,1,2,4,1
96,15,16,4,3,2,1,0
97,10,16,2,1,1,2,0
98,14,16,4,4,1,1,0
99,8,16,4,3,1,3,0
100,5,16,4,4,1,1,0
101,17,16,4,4,1,3,0
102,14,15,4,4,1,1,0
103,6,15,3,2,2,2,0
104,18,15,3,4,1,2,0
105,11,15,3,3,1,4,0
106,8,15,2,2,1,4,0
107,18,16,3,3,1,3,0
108,13,15,4,4,4,4,0
109,16,16,4,4,1,3,0
110,19,15,4,4,1,1,0
111,10,16,3,3,1,3,1
112,13,16,2,2,1,2,1
113,19,15,4,2,1,1,0
114,9,15,2,1,1,2,0
115,16,16,4,4,1,2,0
116,14,15,4,4,2,2,0
117,13,16,3,3,2,1,0
118,8,17,1,3,3,2,1
119,13,15,3,4,1,1,0
120,15,15,1,2,1,2,0
121,15,15,2,2,1,4,0
122,13,16,2,4,2,2,0
123,13,16,4,4,1,1,0
124,8,16,2,2,1,2,0
125,12,15,3,4,1,1,0
126,11,15,3,4,1,2,0
127,9,19,0,1,1,2,3
128,0,18,2,2,1,1,2
129,18,16,4,4,1,1,0
130,0,15,3,4,2,3,2
131,0,15,1,1,3,1,0
132,12,17,2,2,1,1,0
133,11,16,3,4,1,1,0
134,0,15,3,4,4,2,0
135,0,15,4,4,1,3,0
136,0,17,3,4,3,2,0
137,0,16,3,3,2,1,2
138,12,16,1,1,1,2,1
139,15,15,4,4,2,1,0
140,0,15,4,3,2,4,0
141,9,16,2,2,2,1,2
142,11,15,4,4,1,3,0
143,13,16,1,1,1,1,0
144,0,17,2,1,1,1,3
145,11,15,1,1,1,2,0
146,0,15,3,2,1,2,3
147,11,15,1,2,1,2,0
148,0,16,4,4,1,1,0
149,10,15,2,1,4,1,3
150,0,18,1,1,1,1,3
151,14,16,2,1,1,1,1
152,10,15,3,3,2,3,2
153,0,19,3,2,1,1,3
154,12,17,4,4,1,1,0
155,8,15,2,3,1,2,0
156,13,17,1,2,1,1,0
157,10,18,1,1,3,1,3
158,15,16,2,2,3,1,0
159,12,16,3,3,1,2,1
160,0,17,2,1,2,1,2
161,7,15,3,2,2,2,2
162,0,16,1,2,2,1,1
163,10,17,1,3,1,1,0
164,7,17,1,1,4,2,3
165,12,16,3,2,2,1,1
166,10,16,2,2,1,2,0
167,16,16,4,2,1,2,0
168,0,16,2,2,1,2,0
169,14,16,4,4,1,2,0
170,0,16,3,4,3,1,2
171,16,16,1,0,2,2,0
172,10,17,4,4,1,2,0
173,0,16,1,3,1,2,3
174,9,16,3,3,2,2,0
175,9,17,4,3,2,2,0
176,11,16,2,2,2,2,0
177,6,17,3,3,1,2,0
178,9,16,4,2,1,1,0
179,11,17,4,3,1,2,0
180,8,16,4,3,1,2,0
181,12,16,3,3,1,2,0
182,17,17,2,4,1,2,0
183,8,17,3,3,1,2,0
184,12,16,3,2,1,2,0
185,11,17,3,3,1,2,0
186,11,16,1,2,1,1,0
187,15,16,2,1,1,2,0
188,9,17,3,3,1,2,0
189,10,17,1,2,1,2,0
190,13,16,2,3,1,2,0
191,9,17,1,1,1,2,0
192,8,17,1,2,2,2,0
193,10,16,3,3,1,1,0
194,14,16,2,3,2,1,0
195,15,17,2,4,1,2,0
196,16,17,4,4,1,1,0
197,10,16,3,3,3,1,0
198,18,17,4,4,2,1,1
199,10,16,4,4,1,2,0
200,16,16,4,3,1,2,0
201,10,16,2,3,1,2,0
202,10,17,1,1,1,2,0
203,6,17,2,2,1,1,0
204,11,16,2,2,2,4,0
205,9,17,3,4,1,3,1
206,7,16,3,1,1,2,3
207,13,16,4,3,1,2,0
208,10,16,1,1,2,1,0
209,7,17,4,3,2,3,0
210,8,19,3,3,1,4,0
211,13,17,4,4,1,2,0
212,14,16,2,2,1,2,0
213,8,18,2,2,1,2,1
214,10,17,4,4,1,1,0
215,15,17,3,2,2,2,0
216,4,17,4,3,1,2,2
217,8,18,3,3,1,2,1
218,8,17,2,3,2,1,0
219,10,17,2,2,1,3,0
220,6,17,2,1,2,2,0
221,0,17,1,1,1,3,1
222,17,16,2,3,1,2,0
223,13,18,2,2,2,2,0
224,14,16,4,4,1,3,0
225,7,18,3,1,1,2,1
226,15,17,3,2,1,2,0
227,12,17,2,3,1,2,0
228,9,18,2,1,4,2,0
229,12,17,2,1,2,3,0
230,14,17,4,3,1,2,0
231,11,17,2,2,2,2,0
232,9,17,4,4,1,2,0
233,13,16,4,4,1,2,0
234,6,16,1,1,2,2,0
235,10,16,3,2,2,3,0
236,13,17,2,2,1,2,0
237,12,16,2,1,1,1,0
238,11,17,2,1,3,2,0
239,0,18,2,2,1,2,1
240,12,17,4,3,2,2,0
241,12,17,4,4,2,2,0
242,0,16,4,3,1,1,0
243,12,16,4,4,1,1,0
244,0,18,2,1,2,3,0
245,18,16,2,1,3,1,0
246,13,17,2,3,2,1,0
247,8,22,3,1,1,1,3
248,5,18,3,3,1,2,1
249,15,16,0,2,1,1,0
250,8,18,3,2,2,1,1
251,10,16,3,3,3,2,0
252,8,18,2,1,1,1,1
253,8,16,2,1,2,1,0
254,12,17,2,1,1,1,0
255,8,17,1,1,2,1,1
256,13,17,4,2,1,4,0
257,11,19,4,3,1,2,0
258,14,18,2,1,1,2,0
259,0,17,2,2,1,4,0
260,18,18,4,3,1,2,0
261,8,18,4,3,1,2,0
262,12,18,3,2,1,3,0
263,9,17,3,3,1,3,0
264,0,18,2,2,1,3,0
265,17,18,3,4,2,2,0
266,10,17,3,1,1,2,0
267,11,18,4,4,2,2,0
268,10,18,4,2,1,2,0
269,0,18,2,1,2,2,0
270,9,19,3,3,1,2,2
271,14,18,2,3,1,4,0
272,11,18,1,1,2,2,0
273,14,17,1,2,1,2,0
274,10,17,2,4,2,2,0
275,12,17,2,2,2,2,0
276,9,18,3,2,2,2,0
277,9,18,4,4,2,1,0
278,8,18,4,4,1,2,1
279,10,18,4,3,2,1,0
280,8,17,4,1,2,1,0
281,10,17,3,2,1,1,1
282,12,18,1,1,2,4,0
283,10,18,1,1,2,2,0
284,11,17,2,2,1,2,0
285,11,17,1,1,1,2,0
286,19,18,2,2,1,3,0
287,12,17,1,1,1,3,0
288,14,18,2,1,1,3,0
289,15,18,4,4,1,2,0
290,11,18,4,2,1,2,0
291,15,17,4,3,1,3,0
292,13,18,2,1,1,2,1
293,18,17,3,1,2,4,0
294,14,18,3,2,2,3,0
295,11,17,3,3,1,1,0
296,0,19,4,4,2,2,0
297,8,18,4,3,2,2,0
298,14,18,4,3,1,4,0
299,16,18,4,4,1,1,0
300,11,18,4,4,1,2,0
301,10,17,4,4,2,1,0
302,14,17,4,2,2,3,0
303,18,17,3,2,1,4,0
304,13,19,3,3,1,2,1
305,12,18,2,4,1,2,1
306,18,20,3,2,1,1,0
307,8,19,4,4,2,1,1
308,12,19,3,3,1,2,1
309,10,19,1,1,1,2,1
310,0,19,1,2,1,2,1
311,13,19,2,1,3,2,0
312,11,19,1,2,1,2,1
313,11,19,3,2,2,2,1
314,13,19,1,1,1,3,2
315,11,19,2,3,1,3,1
316,0,18,2,1,2,2,0
317,9,18,4,3,1,3,0
318,10,17,3,4,1,3,0
319,11,18,4,4,1,2,0
320,13,17,4,3,1,2,0
321,9,17,2,2,1,2,0
322,11,17,2,2,1,3,0
323,15,17,3,1,1,3,0
324,15,17,0,2,2,3,0
325,11,18,4,4,1,3,0
326,16,17,3,3,1,1,0
327,10,17,2,2,4,1,0
328,9,17,4,4,1,3,0
329,14,17,4,4,2,3,0
330,8,18,2,2,1,4,0
331,14,17,2,4,1,3,0
332,0,18,3,3,1,2,0
333,0,18,2,2,1,2,0
334,0,18,2,2,2,4,0
335,15,17,3,4,1,3,0
336,13,19,3,1,1,3,1
337,0,17,3,2,1,2,0
338,17,18,3,3,1,4,0
339,10,17,3,2,1,2,0
340,11,19,2,1,1,3,1
341,0,18,4,4,1,2,1
342,15,18,3,4,1,2,0
343,0,17,2,2,1,2,1
344,10,18,2,3,1,3,0
345,14,18,3,2,1,3,0
346,16,18,4,3,1,3,0
347,9,18,4,3,1,3,0
348,15,17,4,3,1,3,0
349,13,18,3,2,2,1,1
350,8,19,1,1,3,2,3
351,13,17,3,3,2,2,0
352,8,18,1,3,1,1,1
353,8,19,1,1,3,1,1
354,11,17,4,3,2,2,0
355,9,18,3,3,1,2,0
356,13,17,4,4,2,2,0
357,11,17,3,2,2,2,0
358,10,18,1,1,2,1,0
359,16,18,1,1,2,3,0
360,13,18,1,4,3,2,0
361,12,18,1,1,2,2,1
362,10,18,3,3,2,2,0
363,15,17,4,4,1,2,0
364,12,17,1,2,2,2,0
365,10,18,1,3,2,2,0
366,13,18,4,4,2,3,0
367,0,17,1,1,3,1,1
368,10,18,2,3,2,1,0
369,11,18,4,4,3,2,0
370,9,19,3,2,2,2,2
371,12,18,1,2,3,1,0
372,11,17,2,2,1,3,0
373,5,17,1,2,1,1,0
374,19,18,4,4,2,3,0
375,10,18,1,1,4,3,0
376,15,20,4,2,2,3,2
377,10,18,4,4,1,2,0
378,15,18,3,3,1,2,0
379,10,17,3,1,1,2,0
380,14,18,4,4,1,2,0
381,7,18,2,1,2,1,0
382,10,17,2,3,2,2,0
383,0,19,1,1,2,1,1
384,5,18,4,2,2,1,1
385,10,18,2,2,2,3,0
386,6,18,4,4,3,1,0
387,0,19,2,3,1,3,1
388,8,18,3,1,1,2,0
389,0,18,1,1,2,2,1
390,9,20,2,2,1,2,2
391,16,17,3,1,2,1,0
392,7,21,1,1,1,1,3
393,10,18,3,2,3,1,0
394,9,19,1,1,1,1,0
