id,x0,x1,x2,x3,x4,x5,x6
0,4,3,4,1,1,3,6
1,5,3,3,1,1,3,4
2,4,3,2,2,3,3,10
3,3,2,2,1,1,5,2
4,4,3,2,1,2,5,4
5,5,4,2,1,2,5,10
6,4,4,4,1,1,3,0
7,4,1,4,1,1,1,6
8,4,2,2,1,1,1,0
9,5,5,1,1,1,5,0
10,3,3,3,1,2,2,0
11,5,2,2,1,1,4,4
12,4,3,3,1,3,5,2
13,5,4,3,1,2,3,2
14,4,5,2,1,1,3,0
15,4,4,4,1,2,2,4
16,3,2,3,1,2,2,6
17,5,3,2,1,1,4,4
18,5,5,5,2,4,5,16
19,3,1,3,1,3,5,4
20,4,4,1,1,1,1,0
21,5,4,2,1,1,5,0
22,4,5,1,1,3,5,2
23,5,4,4,2,4,5,0
24,4,3,2,1,1,5,2
25,1,2,2,1,3,5,14
26,4,2,2,1,2,5,2
27,2,2,4,2,4,1,4
28,5,3,3,1,1,5,4
29,4,4,5,5,5,5,16
30,5,4,2,3,4,5,0
31,4,3,1,1,1,5,0
32,4,5,2,1,1,5,0
33,5,3,2,1,1,2,0
34,5,4,3,1,1,5,0
35,3,5,1,1,1,5,0
36,5,4,3,1,1,4,2
37,2,4,3,1,1,5,7
38,4,3,2,1,1,5,2
39,4,3,1,1,1,2,8
40,3,3,3,1,2,3,25
41,5,4,3,2,4,5,8
42,4,3,3,1,1,5,2
43,5,4,1,1,1,1,0
44,4,3,3,2,2,5,14
45,5,2,2,1,1,5,8
46,2,3,5,1,4,3,12
47,4,2,2,1,1,2,4
48,4,3,3,2,2,5,2
49,4,4,4,1,1,3,2
50,4,3,3,2,3,4,2
51,4,3,3,1,1,5,2
52,5,5,5,3,4,5,6
53,3,3,4,2,3,5,0
54,5,3,4,4,4,1,6
55,5,3,4,1,1,2,8
56,4,3,2,1,1,1,0
57,3,2,2,1,1,5,4
58,4,3,2,1,1,5,2
59,4,2,3,1,1,5,2
60,2,4,4,2,3,4,6
61,5,5,5,5,5,5,6
62,4,4,3,1,1,1,4
63,3,4,4,2,4,4,2
64,4,4,4,2,4,2,0
65,5,4,3,1,2,1,2
66,1,3,3,5,5,3,4
67,4,3,3,1,2,5,4
68,4,1,3,1,3,4,2
69,4,4,2,2,3,3,12
70,4,3,2,1,1,5,0
71,3,3,3,1,1,3,0
72,3,3,4,2,4,5,2
73,5,3,2,2,2,5,2
74,4,3,3,2,4,5,54
75,4,3,3,2,3,5,6
76,3,4,3,1,1,1,8
77,5,2,3,1,3,3,0
78,4,5,1,1,1,3,2
79,2,4,3,1,2,3,12
80,3,2,2,1,3,3,2
81,5,3,2,1,2,5,4
82,4,4,4,1,1,5,10
83,5,3,3,1,3,4,4
84,4,3,2,2,3,4,2
85,4,4,4,2,3,5,6
86,4,3,4,1,2,2,4
87,5,3,3,1,3,1,4
88,4,4,2,1,1,3,12
89,4,1,3,3,5,5,18
90,4,3,3,1,3,4,0
91,4,5,5,1,3,1,4
92,3,3,3,2,3,2,4
93,5,3,3,1,1,1,0
94,4,3,4,1,1,4,6
95,3,1,2,1,1,1,2
96,3,3,3,1,1,4,2
97,4,3,5,1,1,5,2
98,5,3,4,1,2,1,6
99,5,3,5,1,1,3,0
100,4,5,5,5,5,4,14
101,4,4,3,1,1,4,0
102,5,3,3,1,1,5,4
103,4,3,5,1,1,2,26
104,5,4,4,1,1,1,0
105,4,3,3,1,1,4,10
106,5,1,2,1,1,3,8
107,5,3,3,1,1,5,2
108,1,3,5,3,5,1,6
109,5,4,5,1,1,4,4
110,5,5,3,1,1,4,6
111,4,1,2,1,1,2,0
112,3,1,2,1,1,5,6
113,3,5,2,1,1,3,10
114,5,4,2,1,1,5,8
115,5,4,4,1,2,5,2
116,4,4,3,1,1,2,2
117,5,4,2,1,1,5,0
118,5,2,4,1,4,5,20
119,3,4,3,1,2,4,6
120,3,2,3,1,2,1,2
121,5,5,4,1,2,5,6
122,4,2,2,1,2,5,2
123,3,4,4,1,4,5,18
124,5,4,4,1,1,5,0
125,5,5,5,3,2,5,0
126,5,3,2,1,1,1,0
127,3,4,2,1,1,5,2
128,3,3,3,1,2,4,0
129,3,5,5,2,5,4,8
130,4,2,2,2,2,5,0
131,4,3,3,1,2,4,0
132,3,4,4,1,3,5,12
133,3,2,1,1,4,5,16
134,5,3,3,1,1,5,0
135,4,3,3,1,1,5,0
136,5,4,5,2,4,5,0
137,4,3,2,1,1,5,0
138,4,4,4,1,3,5,0
139,4,3,2,1,1,5,0
140,2,2,2,1,1,3,0
141,2,3,3,2,2,2,8
142,4,2,2,1,1,5,2
143,3,4,4,3,3,1,2
144,5,4,5,1,2,5,0
145,4,4,2,1,2,5,0
146,3,3,2,1,1,3,0
147,4,3,2,1,1,5,2
148,3,3,2,2,1,5,0
149,4,5,5,2,5,5,0
150,2,3,5,2,5,4,0
151,4,4,4,3,5,5,6
152,4,2,1,2,3,3,8
153,4,5,4,1,1,4,0
154,4,2,1,1,1,4,0
155,4,4,4,1,1,1,2
156,2,2,2,3,3,5,8
157,5,2,5,1,5,4,6
158,4,2,2,1,2,3,2
159,4,5,5,4,4,5,4
160,3,3,2,2,2,5,0
161,4,4,4,1,4,3,6
162,4,4,4,2,4,5,0
163,5,3,3,1,4,2,2
164,5,3,5,1,5,5,0
165,4,5,2,1,1,2,16
166,4,3,5,2,4,4,4
167,4,2,3,1,1,3,0
168,5,1,5,1,1,4,0
169,4,4,2,1,1,3,0
170,3,4,5,2,4,2,0
171,4,3,2,1,1,3,2
172,4,4,4,1,3,5,0
173,4,3,5,1,1,3,0
174,4,4,5,1,1,4,4
175,4,4,4,4,4,4,4
176,3,4,4,1,4,5,2
177,4,3,4,1,4,4,4
178,4,3,3,3,4,3,10
179,5,2,3,1,1,2,4
180,3,4,3,2,3,3,10
181,4,2,3,1,2,3,2
182,5,4,2,2,3,5,0
183,5,3,3,2,3,1,56
184,1,2,2,1,2,1,14
185,4,3,4,2,3,4,12
186,3,3,3,1,2,3,2
187,4,2,3,1,2,5,0
188,3,3,3,1,3,3,6
189,3,1,3,1,5,3,4
190,4,3,3,1,1,2,10
191,5,3,3,1,1,3,0
192,4,4,4,4,5,5,12
193,4,3,2,3,4,5,8
194,5,3,3,1,1,3,0
195,4,3,2,1,1,5,0
196,5,2,3,1,2,5,4
197,3,3,4,3,5,3,8
198,4,2,4,2,3,2,24
199,4,5,2,1,2,3,0
200,4,3,5,1,5,2,2
201,4,4,3,1,3,4,6
202,4,4,4,1,3,1,4
203,5,3,2,1,2,3,18
204,5,3,5,1,1,5,6
205,4,4,3,3,4,5,28
206,2,3,3,2,2,4,5
207,1,3,2,1,1,1,10
208,4,3,2,1,4,5,6
209,4,4,2,1,1,4,6
210,4,3,3,1,2,3,10
211,5,3,5,4,5,3,13
212,3,3,4,1,1,4,0
213,4,4,4,2,4,5,15
214,5,2,1,1,2,3,12
215,4,4,4,1,3,1,2
216,3,4,5,2,4,1,22
217,3,2,4,2,4,4,13
218,3,3,3,1,4,3,3
219,4,3,3,1,1,4,4
220,4,2,5,1,2,5,2
221,4,3,4,1,1,5,0
222,2,3,1,1,1,3,2
223,3,3,3,5,5,4,0
224,5,3,2,1,1,5,0
225,5,3,3,1,1,4,16
226,5,3,4,1,3,3,10
227,5,3,3,1,3,3,2
228,4,3,2,4,5,3,14
229,3,2,3,1,2,3,10
230,3,2,3,1,2,3,14
231,4,5,2,1,1,1,4
232,4,5,5,1,3,2,14
233,4,2,4,2,4,1,2
234,3,4,2,1,1,5,18
235,5,3,3,1,3,2,10
236,4,4,2,5,5,4,4
237,4,5,2,1,1,5,20
238,2,1,1,1,1,3,2
239,5,5,4,3,5,2,0
240,2,5,5,1,4,5,14
241,3,3,3,2,3,4,2
242,5,4,5,1,1,3,0
243,5,3,2,1,2,5,0
244,4,4,4,1,1,3,0
245,4,3,3,1,1,4,6
246,5,2,2,1,1,2,4
247,5,4,5,5,5,1,16
248,4,3,3,1,3,5,8
249,4,3,2,2,4,5,0
250,4,4,5,2,4,5,0
251,5,3,3,1,3,2,6
252,3,2,5,2,5,5,4
253,3,3,2,1,3,3,0
254,4,4,2,2,4,5,0
255,4,4,4,1,2,5,2
256,4,2,3,1,1,4,6
257,4,3,1,1,1,1,12
258,5,2,4,1,2,4,8
259,3,4,1,1,1,2,0
260,3,1,2,1,3,2,21
261,4,3,2,1,1,3,2
262,5,3,2,1,1,3,1
263,3,2,3,1,1,4,4
264,4,3,3,1,1,3,0
265,4,2,5,3,4,1,13
266,5,4,4,3,4,5,2
267,4,3,4,2,2,4,8
268,5,4,5,1,3,5,10
269,4,3,5,1,2,3,0
270,4,3,5,3,3,5,15
271,4,5,5,1,3,2,4
272,4,4,3,1,1,3,2
273,3,5,2,2,2,1,2
274,4,3,3,1,1,1,2
275,4,4,4,2,3,5,6
276,4,1,1,1,1,5,75
277,3,2,4,1,4,3,22
278,2,4,4,1,1,4,15
279,4,2,3,1,2,1,8
280,4,5,4,2,4,5,30
281,4,4,4,3,4,3,19
282,5,2,2,1,1,3,1
283,5,4,4,1,1,4,4
284,5,4,5,1,2,5,4
285,4,3,3,1,2,4,2
286,4,3,3,1,2,2,5
287,4,3,3,1,1,3,6
288,4,2,4,1,3,2,6
289,5,4,3,1,1,2,9
290,4,3,2,1,4,5,11
291,4,2,2,1,2,3,0
292,5,4,3,1,1,5,12
293,3,1,2,1,1,3,6
294,5,4,2,1,1,4,8
295,4,4,3,1,3,5,4
296,2,3,4,2,3,2,0
297,4,4,5,1,2,2,10
298,4,3,3,1,1,3,0
299,1,4,2,2,2,1,5
300,4,2,4,1,1,4,14
301,4,1,1,2,2,5,0
302,4,3,3,1,1,3,0
303,5,2,2,1,2,5,0
304,4,4,4,1,1,3,20
305,4,4,3,1,1,3,8
306,5,5,3,1,1,5,0
307,4,3,4,1,1,4,38
308,4,5,3,1,2,5,0
309,4,4,3,1,3,3,18
310,4,2,4,2,2,3,0
311,3,4,1,1,1,2,20
312,4,5,2,2,2,4,3
313,4,2,2,1,2,1,22
314,4,1,2,1,1,3,14
315,4,1,2,1,1,3,40
316,5,3,3,1,2,1,0
317,4,3,4,1,1,5,9
318,4,3,4,2,5,5,0
319,4,4,4,3,3,5,2
320,5,2,2,1,2,5,23
321,4,2,2,1,1,3,12
322,3,3,2,2,2,3,3
323,3,4,3,2,3,5,1
324,3,3,3,2,3,2,0
325,4,3,3,2,2,3,3
326,4,3,5,3,5,5,3
327,4,4,5,5,5,4,8
328,5,4,4,1,3,4,7
329,4,3,3,1,2,4,4
330,4,5,5,2,4,5,2
331,4,4,3,1,1,5,7
332,5,3,4,1,1,4,0
333,4,3,3,1,1,2,0
334,4,4,4,1,1,4,0
335,4,4,5,1,3,5,16
336,5,4,3,1,2,5,12
337,4,3,2,2,3,2,0
338,5,3,3,1,1,1,7
339,4,3,3,2,3,2,4
340,4,3,4,1,3,3,4
341,4,3,3,2,2,2,0
342,4,3,3,1,3,5,11
343,3,3,1,1,2,4,0
344,4,3,3,1,2,3,4
345,5,4,3,2,3,1,7
346,5,3,2,1,2,4,9
347,5,4,5,2,3,5,0
348,4,4,3,1,3,4,0
349,2,5,5,5,5,5,10
350,5,4,4,3,3,2,8
351,4,5,4,2,3,3,2
352,4,3,3,2,3,3,7
353,4,4,4,3,3,5,4
354,4,5,5,1,3,2,4
355,5,3,4,1,1,5,0
356,4,3,3,1,2,5,4
357,1,2,3,1,2,5,2
358,3,3,2,1,2,3,4
359,5,3,2,1,1,4,0
360,4,3,4,1,4,5,0
361,4,4,3,2,3,5,2
362,4,3,2,1,3,3,0
363,2,3,4,1,1,1,0
364,3,2,2,1,2,3,0
365,3,3,4,2,4,3,4
366,4,2,2,2,2,5,0
367,5,2,1,1,2,1,0
368,5,2,3,1,2,4,0
369,3,2,2,4,2,5,10
370,3,2,2,1,1,3,4
371,4,3,3,2,3,3,3
372,3,4,3,1,1,3,8
373,3,5,5,1,3,1,14
374,5,4,4,1,1,1,0
375,4,3,2,1,2,4,2
376,5,4,3,1,1,3,4
377,5,4,3,3,4,2,4
378,4,1,3,1,2,1,0
379,4,5,4,2,3,1,17
380,3,2,4,1,4,2,4
381,4,4,3,1,3,5,5
382,4,4,3,1,1,3,2
383,4,3,2,1,3,5,0
384,5,4,3,4,3,3,14
385,5,3,3,1,3,4,2
386,4,4,3,2,2,5,7
387,5,4,2,1,2,5,0
388,4,3,4,1,1,1,0
389,1,1,1,1,1,5,0
390,5,5,4,4,5,4,11
391,2,4,5,3,4,2,3
392,5,5,3,3,3,3,3
393,4,4,1,3,4,5,0
394,3,2,3,3,3,5,5
